"","DroughtTimePds","Topo","N","meanCH4_nmolm2s_fluxuse","sdCH4_nmolm2s_fluxuse","seCH4_nmolm2s_fluxuse","ciCH4_nmolm2s_fluxuse"
"1","Pre-Drought","Ridge",10,-0.63629477,0.758049581671508,0.239716325741979,0.542276003316887
"2","Pre-Drought","Slope",17,0.148996378235294,0.690664063262344,0.167510640273466,0.355106693991666
"3","Pre-Drought","Valley",12,17.429232135,29.605514111995,8.54637577102878,18.8104462446011
"4","Drought","Ridge",814,-1.12118670366093,1.00247077783545,0.0351365825799556,0.0689691124407023
"5","Drought","Slope",910,-1.93335422207692,1.72576375479377,0.0572085114062458,0.112276118025476
"6","Drought","Valley",884,1.67710324647059,4.08893482636292,0.137525760705919,0.269915513531522
"7","Drought Recovery","Ridge",745,-0.665176766067114,0.660580016798783,0.024201779251079,0.0475119075088346
"8","Drought Recovery","Slope",398,-0.566533160251256,0.529546692803023,0.0265437772405801,0.0521839360324151
"9","Drought Recovery","Valley",807,1.49075412319703,2.56248243601342,0.0902036538938878,0.177061798475002
"10","Post-Drought","Ridge",1194,5.09525791448911,7.73335094969979,0.223802820817152,0.439090942779168
"11","Post-Drought","Slope",1118,5.45699181951699,9.57574796648558,0.286386014185985,0.561915145052154
"12","Post-Drought","Valley",1385,15.6282582067076,37.3989937259262,1.00492819281586,1.97134706280753
