"","DroughtTimePds","Topo","N","meanCO2_umolm2s_fluxuse","sdCO2_umolm2s_fluxuse","seCO2_umolm2s_fluxuse","ciCO2_umolm2s_fluxuse"
"1","Pre-Drought","Ridge",12,1.82950092166667,1.46795633221041,0.423762491780148,0.932694955811561
"2","Pre-Drought","Slope",18,3.79375653388889,2.92104851394138,0.688497737460945,1.45260325179809
"3","Pre-Drought","Valley",12,0.572222123333333,0.17200080655097,0.0496523559815175,0.109284098678907
"4","Drought","Ridge",826,1.51041273243341,1.04649025883642,0.0364120530200177,0.0714711658265763
"5","Drought","Slope",913,6.05844858082147,4.25556216883291,0.140838551789276,0.276405313210933
"6","Drought","Valley",884,1.50628520445701,0.752823235441401,0.0253201854584855,0.0496947686430531
"7","Drought Recovery","Ridge",779,1.87336874630295,1.63334447533083,0.0585206389219899,0.114877058497797
"8","Drought Recovery","Slope",440,5.09860607286364,4.28102524473504,0.204089870723541,0.401114653655541
"9","Drought Recovery","Valley",807,1.35728790918216,0.474231837478779,0.0166937513140379,0.0327683580804289
"10","Post-Drought","Ridge",1260,2.8454126477381,2.81027710270508,0.0791705883439108,0.155320820077962
"11","Post-Drought","Slope",1236,2.8326394062055,2.29425902682143,0.0652579179820041,0.128028641608932
"12","Post-Drought","Valley",1394,1.82204485248207,1.43156284821637,0.0383423769253802,0.0752150305169883
