"","DroughtTimePds","Topo","Depth","N","meanFeIIconcentration_mgFeg","sdFeIIconcentration_mgFeg","seFeIIconcentration_mgFeg","ciFeIIconcentration_mgFeg"
"1","PostDrought","Ridge","0-15",4,0.01541384025,0.0042785307076452,0.0021392653538226,0.00680809712129417
"2","PostDrought","Ridge","15-30",4,0.00940220825,0.00321806809799797,0.00160903404899898,0.0051206644643125
"3","PostDrought","Ridge","30-45",4,0.00904946925,0.00661543244496681,0.00330771622248341,0.0105266292711693
"4","PostDrought","Ridge","45-60",4,0.004842248,0.0015826095880785,0.00079130479403925,0.0025182850181435
"5","PostDrought","Ridge","60-75",4,0.0049774025,0.0028159624612044,0.0014079812306022,0.00448082466523878
"6","PostDrought","Ridge","75-90",4,0.00461340675,0.00163704558092302,0.000818522790461509,0.00260490483029474
"7","PostDrought","Ridge","90-105",4,0.00435252675,0.00150339056746794,0.000751695283733971,0.00239222987841837
"8","PostDrought","Slope","0-15",4,0.0109631095,0.0068083401842184,0.0034041700921092,0.0108335885321902
"9","PostDrought","Slope","15-30",4,0.00730219475,0.00412582791507267,0.00206291395753634,0.0065651129022797
"10","PostDrought","Slope","30-45",4,0.00877361675,0.0092872869640894,0.0046436434820447,0.0147781460424879
"11","PostDrought","Slope","45-60",4,0.00564195025,0.00307481057859585,0.00153740528929792,0.0048927097826498
"12","PostDrought","Slope","60-75",4,0.00457953375,0.00287195716489857,0.00143597858244929,0.00456992473418227
"13","PostDrought","Slope","75-90",3,0.003298301,0.0021121108286804,0.00121942775549695,0.00524677416092122
"14","PostDrought","Slope","90-105",3,0.003339161,0.0019070427760774,0.00110103166012442,0.00473735687797491
"15","PostDrought","Valley","0-15",4,1.31652318375,0.855791120913655,0.427895560456828,1.36175464542313
"16","PostDrought","Valley","15-30",4,1.74065225725,1.35349198562635,0.676745992813177,2.15370778444385
"17","PostDrought","Valley","30-45",4,1.63666848525,1.74823190445517,0.874115952227583,2.78182708255622
"18","PostDrought","Valley","45-60",4,0.65012379,0.771178688865799,0.3855893444329,1.22711738454725
"19","PostDrought","Valley","60-75",4,0.00499747525,0.00295349220564756,0.00147674610282378,0.00469966517877366
"20","PostDrought","Valley","75-90",4,0.004371663,0.00146012198214601,0.000730060991073006,0.00232337990367205
"21","PostDrought","Valley","90-105",4,0.0051759065,0.00233581934544969,0.00116790967272484,0.00371680982286828
"23","PreDrought","Ridge","0-15",6,0.0534230528333333,0.0228749583676574,0.00933866264802817,0.0240057965721565
"24","PreDrought","Ridge","15-30",6,0.0146164913333333,0.00978941418644331,0.00399651160625817,0.010273360140957
"25","PreDrought","Slope","0-15",6,0.0476974178333333,0.0204428304497214,0.00834575058334135,0.0214534348542884
"26","PreDrought","Slope","15-30",6,0.0248323976666667,0.016385829407027,0.00668948684325128,0.0171958733689898
"27","PreDrought","Valley","0-15",6,14.9361427258333,3.74428201944233,1.52859673345191,3.92938299702449
"28","PreDrought","Valley","15-30",6,13.0040166536667,6.04409477975223,2.46749136123541,6.34288847278126
"30","Drought","Ridge","0-15",6,0.0534257606666667,0.0194796562516336,0.00795253636355313,0.0204426455233869
"31","Drought","Ridge","15-30",6,0.0261424028333333,0.0104118560037101,0.00425062241407057,0.0109265727677584
"32","Drought","Slope","0-15",12,0.05692807475,0.0871377012492711,0.0251544876364159,0.0553646539974601
"33","Drought","Slope","15-30",12,0.0652959550833333,0.137680217388428,0.0397448552856474,0.0874778366736997
"34","Drought","Valley","0-15",6,2.822699182,3.30550556436597,1.34946699577119,3.46891534712014
"35","Drought","Valley","15-30",6,6.411592071,6.72988451756994,2.74746384931715,7.06258066512209
