"","DroughtTimePds","Topo","N","meanN2O_nmolm2s_fluxuse","sdN2O_nmolm2s_fluxuse","seN2O_nmolm2s_fluxuse","ciN2O_nmolm2s_fluxuse"
"1","Pre-Drought","Ridge",9,-0.283184277777778,0.814292869643131,0.27143095654771,0.625920908221442
"2","Pre-Drought","Slope",12,-0.249950228333333,0.337326436152408,0.097377754358685,0.214326992266515
"3","Pre-Drought","Valley",8,-0.2024587525,0.539514957607326,0.190747342537856,0.451045792091891
"4","Drought","Ridge",519,-0.384590607687861,1.54962813901256,0.0680211257167622,0.133631187952669
"5","Drought","Slope",590,-0.532391435966102,1.28768002344076,0.0530129476152921,0.10411741629229
"6","Drought","Valley",734,0.0390771539782016,0.651411576462037,0.0240440400300284,0.0472033947706802
"7","Drought Recovery","Ridge",453,-0.328958748233996,2.96995617396621,0.139540713636585,0.274229068515599
"8","Drought Recovery","Slope",227,-0.294501400484582,0.473435576593441,0.0314230228725841,0.0619195769646314
"9","Drought Recovery","Valley",412,-0.169309922208738,0.518052052094056,0.0255225927270684,0.0501711050502342
"10","Post-Drought","Ridge",431,-0.703023110858469,2.03129777617459,0.0978441710031059,0.192312345474061
"11","Post-Drought","Slope",612,-0.475992960686275,3.35936980557474,0.135794475920542,0.266680546519697
"12","Post-Drought","Valley",483,-0.470649679109731,2.26109441440443,0.102883358253356,0.202155292613282
