"","DroughtTimePds","Topo","N","meanCH4_nmolm2s_fluxuse","sdCH4_nmolm2s_fluxuse","seCH4_nmolm2s_fluxuse","ciCH4_nmolm2s_fluxuse"
"1","Pre-Drought","Ridge",9,-0.000381217777777778,0.000229680350203156,7.65601167343854e-05,0.000176547945781206
"2","Pre-Drought","Slope",195,-0.000561627743589744,0.00308251551468843,0.00022074352095257,0.000435365279402618
"3","Pre-Drought","Valley",106,0.00770468537735849,0.0387173099923189,0.0037605575824043,0.00745649101237702
"4","Drought","Ridge",1484,-1.59149295762803,1.09263957778129,0.0283635102001149,0.0556368663936311
"5","Drought","Slope",1491,-2.19153567793427,1.52139470199731,0.0394006219949873,0.0772865810476245
"6","Drought","Valley",1530,2.61942776905229,8.31907720030329,0.212681365071701,0.417178051642948
"7","Drought Recovery","Ridge",524,-0.841661747480916,0.902377123832584,0.0394205276865324,0.0774420292305645
"8","Drought Recovery","Slope",320,-1.077778290625,0.796474636506726,0.0445242857395869,0.0875983436706156
"9","Drought Recovery","Valley",513,1.19385882003899,2.75820027852488,0.121777517205734,0.239245098262704
"10","Post-Drought","Ridge",180,-0.0266564213888889,1.06169560521128,0.0791341181555069,0.156155785358515
"11","Post-Drought","Slope",106,-0.565876884716981,0.570881182806056,0.0554488821945315,0.109944890530179
"12","Post-Drought","Valley",184,0.510004628858696,0.743136482875186,0.0547847483625938,0.10809096128714
