day,drought period,CO2-e CO2 cumulative kg per ha - actual,CO2-e CH4 cumulative kg per ha - actual,CO2-e total cumulative kg per ha - actual,CO2-e CO2 cumulative kg per ha - baseline,CO2-e CH4 cumulative kg per ha - baseline,CO2-e total cumulative kg per ha - baseline,"CO2-e CO2 cumulative kg per ha - actual, high","CO2-e CH4 cumulative kg per ha - actual, high","CO2-e total cumulative kg per ha - actual, high","CO2-e CO2 cumulative kg per ha - baseline, high","CO2-e CH4 cumulative kg per ha - baseline, high","CO2-e total cumulative kg per ha - baseline, high","CO2-e CO2 cumulative kg per ha - actual, low","CO2-e CH4 cumulative kg per ha - actual, low","CO2-e total cumulative kg per ha - actual, low","CO2-e CO2 cumulative kg per ha - baseline, low","CO2-e CH4 cumulative kg per ha - baseline, low","CO2-e total cumulative kg per ha - baseline, low"
1,pre-drought,29.88427582,1102.849397,1132.733673,29.88427582,1102.849397,1132.733673,52.4969901,3186.799853,3239.296843,52.4969901,3186.799853,3239.296843,7.271561539,-981.1010587,-973.8294972,7.271561539,-981.1010587,-973.8294972
2,pre-drought,59.76855164,2205.698794,2265.467346,59.76855164,2205.698794,2265.467346,104.9939802,6373.599706,6478.593687,104.9939802,6373.599706,6478.593687,14.54312308,-1962.202117,-1947.658994,14.54312308,-1962.202117,-1947.658994
3,pre-drought,89.65282746,3308.548192,3398.201019,89.65282746,3308.548192,3398.201019,157.4909703,9560.39956,9717.89053,157.4909703,9560.39956,9717.89053,21.81468462,-2943.303176,-2921.488492,21.81468462,-2943.303176,-2921.488492
4,pre-drought,119.5371033,4411.397589,4530.934692,119.5371033,4411.397589,4530.934692,209.9879604,12747.19941,12957.18737,209.9879604,12747.19941,12957.18737,29.08624616,-3924.404235,-3895.317989,29.08624616,-3924.404235,-3895.317989
5,pre-drought,149.4213791,5514.246986,5663.668365,149.4213791,5514.246986,5663.668365,262.4849505,15933.99927,16196.48422,262.4849505,15933.99927,16196.48422,36.35780769,-4905.505294,-4869.147486,36.35780769,-4905.505294,-4869.147486
6,pre-drought,179.3056549,6617.096383,6796.402038,179.3056549,6617.096383,6796.402038,314.9819406,19120.79912,19435.78106,314.9819406,19120.79912,19435.78106,43.62936923,-5886.606352,-5842.976983,43.62936923,-5886.606352,-5842.976983
7,pre-drought,209.1899307,7719.945781,7929.135711,209.1899307,7719.945781,7929.135711,367.4789307,22307.59897,22675.0779,367.4789307,22307.59897,22675.0779,50.90093077,-6867.707411,-6816.80648,50.90093077,-6867.707411,-6816.80648
8,pre-drought,239.0742066,8822.795178,9061.869385,239.0742066,8822.795178,9061.869385,419.9759208,25494.39883,25914.37475,419.9759208,25494.39883,25914.37475,58.17249231,-7848.80847,-7790.635978,58.17249231,-7848.80847,-7790.635978
9,pre-drought,268.9584824,9925.644575,10194.60306,268.9584824,9925.644575,10194.60306,472.4729109,28681.19868,29153.67159,472.4729109,28681.19868,29153.67159,65.44405385,-8829.909529,-8764.465475,65.44405385,-8829.909529,-8764.465475
10,pre-drought,298.8427582,11028.49397,11327.33673,298.8427582,11028.49397,11327.33673,524.969901,31867.99853,32392.96843,524.969901,31867.99853,32392.96843,72.71561539,-9811.010587,-9738.294972,72.71561539,-9811.010587,-9738.294972
11,pre-drought,328.727034,12131.34337,12460.0704,328.727034,12131.34337,12460.0704,577.4668911,35054.79839,35632.26528,577.4668911,35054.79839,35632.26528,79.98717693,-10792.11165,-10712.12447,79.98717693,-10792.11165,-10712.12447
12,pre-drought,358.6113098,13234.19277,13592.80408,358.6113098,13234.19277,13592.80408,629.9638812,38241.59824,38871.56212,629.9638812,38241.59824,38871.56212,87.25873847,-11773.2127,-11685.95397,87.25873847,-11773.2127,-11685.95397
13,pre-drought,388.4955857,14337.04216,14725.53775,388.4955857,14337.04216,14725.53775,682.4608713,41428.39809,42110.85896,682.4608713,41428.39809,42110.85896,94.53030001,-12754.31376,-12659.78346,94.53030001,-12754.31376,-12659.78346
14,pre-drought,418.3798615,15439.89156,15858.27142,418.3798615,15439.89156,15858.27142,734.9578614,44615.19795,45350.15581,734.9578614,44615.19795,45350.15581,101.8018615,-13735.41482,-13633.61296,101.8018615,-13735.41482,-13633.61296
15,pre-drought,448.2641373,16542.74096,16991.0051,448.2641373,16542.74096,16991.0051,787.4548515,47801.9978,48589.45265,787.4548515,47801.9978,48589.45265,109.0734231,-14716.51588,-14607.44246,109.0734231,-14716.51588,-14607.44246
16,pre-drought,478.1484131,17645.59036,18123.73877,478.1484131,17645.59036,18123.73877,839.9518416,50988.79765,51828.74949,839.9518416,50988.79765,51828.74949,116.3449846,-15697.61694,-15581.27196,116.3449846,-15697.61694,-15581.27196
17,pre-drought,508.032689,18748.43975,19256.47244,508.032689,18748.43975,19256.47244,892.4488317,54175.5975,55068.04634,892.4488317,54175.5975,55068.04634,123.6165462,-16678.718,-16555.10145,123.6165462,-16678.718,-16555.10145
18,pre-drought,537.9169648,19851.28915,20389.20612,537.9169648,19851.28915,20389.20612,944.9458218,57362.39736,58307.34318,944.9458218,57362.39736,58307.34318,130.8881077,-17659.81906,-17528.93095,130.8881077,-17659.81906,-17528.93095
19,pre-drought,567.8012406,20954.13855,21521.93979,567.8012406,20954.13855,21521.93979,997.4428119,60549.19721,61546.64002,997.4428119,60549.19721,61546.64002,138.1596692,-18640.92012,-18502.76045,138.1596692,-18640.92012,-18502.76045
20,pre-drought,597.6855164,22056.98794,22654.67346,597.6855164,22056.98794,22654.67346,1049.939802,63735.99706,64785.93687,1049.939802,63735.99706,64785.93687,145.4312308,-19622.02117,-19476.58994,145.4312308,-19622.02117,-19476.58994
21,pre-drought,627.5697922,23159.83734,23787.40713,627.5697922,23159.83734,23787.40713,1102.436792,66922.79692,68025.23371,1102.436792,66922.79692,68025.23371,152.7027923,-20603.12223,-20450.41944,152.7027923,-20603.12223,-20450.41944
22,pre-drought,657.4540681,24262.68674,24920.14081,657.4540681,24262.68674,24920.14081,1154.933782,70109.59677,71264.53055,1154.933782,70109.59677,71264.53055,159.9743539,-21584.22329,-21424.24894,159.9743539,-21584.22329,-21424.24894
23,pre-drought,687.3383439,25365.53614,26052.87448,687.3383439,25365.53614,26052.87448,1207.430772,73296.39662,74503.8274,1207.430772,73296.39662,74503.8274,167.2459154,-22565.32435,-22398.07844,167.2459154,-22565.32435,-22398.07844
24,pre-drought,717.2226197,26468.38553,27185.60815,717.2226197,26468.38553,27185.60815,1259.927762,76483.19648,77743.12424,1259.927762,76483.19648,77743.12424,174.5174769,-23546.42541,-23371.90793,174.5174769,-23546.42541,-23371.90793
25,pre-drought,747.1068955,27571.23493,28318.34183,747.1068955,27571.23493,28318.34183,1312.424753,79669.99633,80982.42108,1312.424753,79669.99633,80982.42108,181.7890385,-24527.52647,-24345.73743,181.7890385,-24527.52647,-24345.73743
26,pre-drought,776.9911713,28674.08433,29451.0755,776.9911713,28674.08433,29451.0755,1364.921743,82856.79618,84221.71793,1364.921743,82856.79618,84221.71793,189.0606,-25508.62753,-25319.56693,189.0606,-25508.62753,-25319.56693
27,pre-drought,806.8754472,29776.93373,30583.80917,806.8754472,29776.93373,30583.80917,1417.418733,86043.59604,87461.01477,1417.418733,86043.59604,87461.01477,196.3321616,-26489.72859,-26293.39642,196.3321616,-26489.72859,-26293.39642
28,pre-drought,836.759723,30879.78312,31716.54285,836.759723,30879.78312,31716.54285,1469.915723,89230.39589,90700.31161,1469.915723,89230.39589,90700.31161,203.6037231,-27470.82964,-27267.22592,203.6037231,-27470.82964,-27267.22592
29,pre-drought,866.6439988,31982.63252,32849.27652,866.6439988,31982.63252,32849.27652,1522.412713,92417.19574,93939.60846,1522.412713,92417.19574,93939.60846,210.8752846,-28451.9307,-28241.05542,210.8752846,-28451.9307,-28241.05542
30,pre-drought,896.5282746,33085.48192,33982.01019,896.5282746,33085.48192,33982.01019,1574.909703,95603.9956,97178.9053,1574.909703,95603.9956,97178.9053,218.1468462,-29433.03176,-29214.88492,218.1468462,-29433.03176,-29214.88492
31,pre-drought,926.4125504,34188.33131,35114.74386,926.4125504,34188.33131,35114.74386,1627.406693,98790.79545,100418.2021,1627.406693,98790.79545,100418.2021,225.4184077,-30414.13282,-30188.71441,225.4184077,-30414.13282,-30188.71441
32,pre-drought,956.2968263,35291.18071,36247.47754,956.2968263,35291.18071,36247.47754,1679.903683,101977.5953,103657.499,1679.903683,101977.5953,103657.499,232.6899692,-31395.23388,-31162.54391,232.6899692,-31395.23388,-31162.54391
33,pre-drought,986.1811021,36394.03011,37380.21121,986.1811021,36394.03011,37380.21121,1732.400673,105164.3952,106896.7958,1732.400673,105164.3952,106896.7958,239.9615308,-32376.33494,-32136.37341,239.9615308,-32376.33494,-32136.37341
34,pre-drought,1016.065378,37496.87951,38512.94488,1016.065378,37496.87951,38512.94488,1784.897663,108351.195,110136.0927,1784.897663,108351.195,110136.0927,247.2330923,-33357.436,-33110.20291,247.2330923,-33357.436,-33110.20291
35,pre-drought,1045.949654,38599.7289,39645.67856,1045.949654,38599.7289,39645.67856,1837.394654,111537.9949,113375.3895,1837.394654,111537.9949,113375.3895,254.5046539,-34338.53706,-34084.0324,254.5046539,-34338.53706,-34084.0324
36,pre-drought,1075.83393,39702.5783,40778.41223,1075.83393,39702.5783,40778.41223,1889.891644,114724.7947,116614.6864,1889.891644,114724.7947,116614.6864,261.7762154,-35319.63811,-35057.8619,261.7762154,-35319.63811,-35057.8619
37,pre-drought,1105.718205,40805.4277,41911.1459,1105.718205,40805.4277,41911.1459,1942.388634,117911.5946,119853.9832,1942.388634,117911.5946,119853.9832,269.0477769,-36300.73917,-36031.6914,269.0477769,-36300.73917,-36031.6914
38,pre-drought,1135.602481,41908.2771,43043.87958,1135.602481,41908.2771,43043.87958,1994.885624,121098.3944,123093.28,1994.885624,121098.3944,123093.28,276.3193385,-37281.84023,-37005.52089,276.3193385,-37281.84023,-37005.52089
39,pre-drought,1165.486757,43011.12649,44176.61325,1165.486757,43011.12649,44176.61325,2047.382614,124285.1943,126332.5769,2047.382614,124285.1943,126332.5769,283.5909,-38262.94129,-37979.35039,283.5909,-38262.94129,-37979.35039
40,pre-drought,1195.371033,44113.97589,45309.34692,1195.371033,44113.97589,45309.34692,2099.879604,127471.9941,129571.8737,2099.879604,127471.9941,129571.8737,290.8624616,-39244.04235,-38953.17989,290.8624616,-39244.04235,-38953.17989
41,pre-drought,1225.255309,45216.82529,46442.0806,1225.255309,45216.82529,46442.0806,2152.376594,130658.794,132811.1706,2152.376594,130658.794,132811.1706,298.1340231,-40225.14341,-39927.00939,298.1340231,-40225.14341,-39927.00939
42,pre-drought,1255.139584,46319.67468,47574.81427,1255.139584,46319.67468,47574.81427,2204.873584,133845.5938,136050.4674,2204.873584,133845.5938,136050.4674,305.4055846,-41206.24447,-40900.83888,305.4055846,-41206.24447,-40900.83888
43,pre-drought,1285.02386,47422.52408,48707.54794,1285.02386,47422.52408,48707.54794,2257.370574,137032.3937,139289.7643,2257.370574,137032.3937,139289.7643,312.6771462,-42187.34553,-41874.66838,312.6771462,-42187.34553,-41874.66838
44,pre-drought,1314.908136,48525.37348,49840.28161,1314.908136,48525.37348,49840.28161,2309.867564,140219.1935,142529.0611,2309.867564,140219.1935,142529.0611,319.9487077,-43168.44658,-42848.49788,319.9487077,-43168.44658,-42848.49788
45,pre-drought,1344.792412,49628.22288,50973.01529,1344.792412,49628.22288,50973.01529,2362.364555,143405.9934,145768.358,2362.364555,143405.9934,145768.358,327.2202693,-44149.54764,-43822.32737,327.2202693,-44149.54764,-43822.32737
46,pre-drought,1374.676688,50731.07227,52105.74896,1374.676688,50731.07227,52105.74896,2414.861545,146592.7932,149007.6548,2414.861545,146592.7932,149007.6548,334.4918308,-45130.6487,-44796.15687,334.4918308,-45130.6487,-44796.15687
