DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2015-06-29                09:44:23.875              179.40583190              4305.739966               180.40583190              1435585463.876            4                         963                       0.0000000000E+00          1.3996268897E+02          4.4999382019E+01          5.6375000000E+01          4.5112358093E+01          4.5003929138E+01          4.7000000000E+01          0.0000000000E+00          5.8939663334E+04          0.0000000000E+00          3.0835699442E-01          3.0727045702E-01          3.0685476152E-01          3.0659416138E-01          3.2295717725E-01          3.2217593781E-01          3.2215126849E-01          3.2210075553E-01          4.2444963054E+02          4.4428492337E+02          1.7806526639E+00          1.8413627039E+00          2.5987950449E+00          6.3628572079E+00          0.0000000000E+00          6.5519313994E-01          5.7548507609E+01          3.0881939307E+00          1.4711951995E+02          3.8973546151E+02          5.8970931839E+00          
2015-06-29                09:44:24.507              179.40583921              4305.740141               180.40583921              1435585464.508            4                         963                       0.0000000000E+00          1.3998901142E+02          4.4999346067E+01          5.6375000000E+01          4.5112385057E+01          4.5003902174E+01          2.0000000000E+00          0.0000000000E+00          5.8925800019E+04          0.0000000000E+00          3.0764222658E-01          3.0729367807E-01          3.0690104201E-01          3.0658156901E-01          3.2220707425E-01          3.2216871541E-01          3.2218589268E-01          3.2208496446E-01          4.2446348258E+02          4.4429747325E+02          1.7807454874E+00          1.8414528156E+00          2.5985511202E+00          6.4197519141E+00          0.0000000000E+00          6.5519313994E-01          5.7548507609E+01          3.0881939307E+00          1.4700664952E+02          3.8973546151E+02          6.4022899724E+00          
2015-06-29                09:44:25.278              179.40584813              4305.740355               180.40584813              1435585465.278            4                         963                       0.0000000000E+00          1.3999835014E+02          4.4999259949E+01          5.6375000000E+01          4.5112449646E+01          4.5003837585E+01          4.6000000000E+01          0.0000000000E+00          5.8919944824E+04          0.0000000000E+00          3.0677817962E-01          3.0730425739E-01          3.0699077331E-01          3.0657183617E-01          3.2130752890E-01          3.2214807273E-01          3.2226591361E-01          3.2207219753E-01          4.2448034942E+02          4.4432271074E+02          1.7808585674E+00          1.8415925974E+00          2.5994993805E+00          6.4384510467E+00          0.0000000000E+00          6.5519313994E-01          5.7565171500E+01          3.0881939307E+00          1.4700664952E+02          3.8973546151E+02          6.4022899724E+00          
2015-06-29                09:44:26.398              179.40586109              4305.740666               180.40586109              1435585466.398            4                         963                       0.0000000000E+00          1.4000044262E+02          4.4999259949E+01          5.6350786925E+01          4.5112449646E+01          4.5003837585E+01          4.7000000000E+01          0.0000000000E+00          5.8923862865E+04          0.0000000000E+00          3.0552375437E-01          3.0728157000E-01          3.0714391488E-01          3.0656650383E-01          3.2000148131E-01          3.2209255074E-01          3.2240721789E-01          3.2206408241E-01          4.2478024820E+02          4.4464761563E+02          1.7810228056E+00          1.8417954816E+00          2.6008707455E+00          6.4656574743E+00          0.0000000000E+00          6.4946319801E-01          5.7565171500E+01          3.0845502743E+00          1.4700664952E+02          3.8973546151E+02          6.4022899724E+00          
2015-06-29                09:44:27.178              179.40587013              4305.740883               180.40587013              1435585467.179            4                         963                       0.0000000000E+00          1.4000044262E+02          4.4999259949E+01          5.6350786925E+01          4.5112449646E+01          4.5003837585E+01          4.7000000000E+01          0.0000000000E+00          5.8923862865E+04          0.0000000000E+00          3.0552762292E-01          3.0715292905E-01          3.0712264788E-01          3.0656117472E-01          3.2001105618E-01          3.2192556984E-01          3.2237568945E-01          3.2205598337E-01          4.2498937609E+02          4.4487419085E+02          1.7811373163E+00          1.8419369460E+00          2.6018270821E+00          6.4846402404E+00          0.0000000000E+00          6.4946319801E-01          5.7565171500E+01          3.0845502743E+00          1.4700664952E+02          3.8973546151E+02          6.4022899724E+00          
2015-06-29                09:44:27.507              179.40587394              4305.740974               180.40587394              1435585467.508            4                         963                       0.0000000000E+00          1.3999907098E+02          4.4999259949E+01          5.6375000000E+01          4.5112449646E+01          4.5003837585E+01          2.5000000000E+01          0.0000000000E+00          5.8933264350E+04          0.0000000000E+00          3.0383989025E-01          3.0685198156E-01          3.0710761631E-01          3.0655125389E-01          3.1824545460E-01          3.2157972634E-01          3.2234516270E-01          3.2204307942E-01          4.2507746829E+02          4.4496963509E+02          1.7811855855E+00          1.8419965721E+00          2.6022299575E+00          6.4926154000E+00          0.0000000000E+00          6.4946319801E-01          5.7565171500E+01          3.0845502743E+00          1.4700664952E+02          3.8991492932E+02          6.4022899724E+00          
2015-06-29                09:44:28.674              179.40588743              4305.741298               180.40588743              1435585468.674            4                         963                       0.0000000000E+00          1.3999426063E+02          4.4999259949E+01          5.6375000000E+01          4.5112449646E+01          4.5003837585E+01          4.7000000000E+01          0.0000000000E+00          5.8930855403E+04          0.0000000000E+00          2.9785843993E-01          3.0620661960E-01          3.0701377357E-01          3.0652506783E-01          3.1198782421E-01          3.2087571821E-01          3.2223191089E-01          3.2201315454E-01          4.2538967133E+02          4.4530790586E+02          1.7813141222E+00          1.8421639118E+00          2.6036578415E+00          6.5208799050E+00          0.0000000000E+00          6.3434626569E-01          5.7565171500E+01          3.0923350149E+00          1.4700664952E+02          3.8991492932E+02          6.4022899724E+00          
2015-06-29                09:44:29.460              179.40589654              4305.741517               180.40589654              1435585469.461            4                         963                       0.0000000000E+00          1.3999426063E+02          4.4999259949E+01          5.6375000000E+01          4.5112449646E+01          4.5003837585E+01          4.7000000000E+01          0.0000000000E+00          5.8930855403E+04          0.0000000000E+00          2.9786233548E-01          3.0556316269E-01          3.0689661063E-01          3.0649888514E-01          3.1199733126E-01          3.2017598819E-01          3.2209399247E-01          3.2198324566E-01          4.2560040440E+02          4.4553624426E+02          1.7814008046E+00          1.8422767869E+00          2.6046216573E+00          6.5400084767E+00          0.0000000000E+00          6.3434626569E-01          5.7565171500E+01          3.0923350149E+00          1.4700664952E+02          3.8991492932E+02          6.4022899724E+00          
2015-06-29                09:44:30.086              179.40590378              4305.741691               180.40590378              1435585470.087            4                         963                       0.0000000000E+00          1.4000027508E+02          4.4999259949E+01          5.6375000000E+01          4.5112449646E+01          4.5004071693E+01          2.0000000000E+00          0.0000000000E+00          5.8936626605E+04          0.0000000000E+00          3.0287653382E-01          3.0511236602E-01          3.0681767276E-01          3.0648208819E-01          3.1725440417E-01          3.1967924646E-01          3.2199602882E-01          3.2196316716E-01          4.2576803855E+02          4.4571788861E+02          1.7814696620E+00          1.8423664782E+00          2.6053883321E+00          6.5552873761E+00          0.0000000000E+00          6.3434626569E-01          5.7565171500E+01          3.0923350149E+00          1.4736739752E+02          3.8991492932E+02          6.5378488555E+00          
2015-06-29                09:44:30.858              179.40591271              4305.741905               180.40591271              1435585470.858            4                         963                       0.0000000000E+00          1.4000899458E+02          4.4999259949E+01          5.6353515625E+01          4.5112449646E+01          4.5004142761E+01          4.6000000000E+01          0.0000000000E+00          5.8944961426E+04          0.0000000000E+00          3.0904479030E-01          3.0503940973E-01          3.0677788090E-01          3.0647692226E-01          3.2371368486E-01          3.1958187510E-01          3.2193881955E-01          3.2195526886E-01          4.2597451230E+02          4.4593069509E+02          1.7815544815E+00          1.8424441290E+00          2.6049706773E+00          6.6285052082E+00          0.0000000000E+00          6.3434626569E-01          5.7768042967E+01          3.0923350149E+00          1.4736739752E+02          3.8991492932E+02          6.5378488555E+00          
