DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   species                   solenoid_valves           CO2_dry                   CH4_dry                   CH4_dry                   CH4_dry                   N2O_dry                   NH3                       H2O                       H2O                       H2O                       H2O                       H2O                       H2O                       ChemDetect                
2015-07-15                05:08:04.042              195.21393567              4685.134456               196.21393567              1436951284.042            4                         963                       1.4001235840E+02          4.5006217957E+01          5.2125000000E+01          4.7000000000E+01          0.0000000000E+00          6.0934953203E+02          1.8276773809E+00          1.8276773809E+00          1.8276773809E+00          3.2745236506E-01          3.1140299923E+00          2.5722947248E+00          2.5722947248E+00          2.5722947248E+00          2.5722947248E+00          2.5722947248E+00          2.5722947248E+00          0.0000000000E+00          
2015-07-15                05:08:04.678              195.21394304              4685.134633               196.21394304              1436951284.679            4                         963                       1.4004777558E+02          4.5006193083E+01          5.2125000000E+01          2.0000000000E+00          0.0000000000E+00          6.0974281737E+02          1.8276139288E+00          1.8276139288E+00          1.8276139288E+00          3.2250340007E-01          3.1846406837E+00          2.5714063940E+00          2.5714063940E+00          2.5714063940E+00          2.5714063940E+00          2.5714063940E+00          2.5714063940E+00          0.0000000000E+00          
2015-07-15                05:08:05.443              195.21395189              4685.134845               196.21395189              1436951285.443            4                         963                       1.4003049183E+02          4.5006187439E+01          5.2154296875E+01          4.6000000000E+01          0.0000000000E+00          6.1025288943E+02          1.8276214260E+00          1.8276214260E+00          1.8276214260E+00          3.1660157550E-01          3.2402520570E+00          2.5738386329E+00          2.5738386329E+00          2.5738386329E+00          2.5738386329E+00          2.5738386329E+00          2.5738386329E+00          0.0000000000E+00          
2015-07-15                05:08:06.549              195.21396470              4685.135153               196.21396470              1436951286.550            4                         963                       1.3999237275E+02          4.5006187439E+01          5.2144067797E+01          4.7000000000E+01          0.0000000000E+00          6.1105519995E+02          1.8276322050E+00          1.8276322050E+00          1.8276322050E+00          3.0804971939E-01          3.3208320023E+00          2.5773615974E+00          2.5773615974E+00          2.5773615974E+00          2.5773615974E+00          2.5773615974E+00          2.5773615974E+00          0.0000000000E+00          
2015-07-15                05:08:07.334              195.21397377              4685.135371               196.21397377              1436951287.334            4                         963                       1.3999237275E+02          4.5006187439E+01          5.2144067797E+01          4.7000000000E+01          0.0000000000E+00          6.1162349244E+02          1.8276397377E+00          1.8276397377E+00          1.8276397377E+00          3.0807357324E-01          3.3779740073E+00          2.5798570007E+00          2.5798570007E+00          2.5798570007E+00          2.5798570007E+00          2.5798570007E+00          2.5798570007E+00          0.0000000000E+00          
2015-07-15                05:08:07.654              195.21397749              4685.135460               196.21397749              1436951287.655            4                         963                       1.4000471159E+02          4.5006187439E+01          5.2187500000E+01          2.5000000000E+01          0.0000000000E+00          6.1185619589E+02          1.8276427712E+00          1.8276427712E+00          1.8276427712E+00          3.1099149270E-01          3.4014053770E+00          2.5808788032E+00          2.5808788032E+00          2.5808788032E+00          2.5808788032E+00          2.5808788032E+00          2.5808788032E+00          0.0000000000E+00          
2015-07-15                05:08:08.786              195.21399059              4685.135774               196.21399059              1436951288.787            4                         963                       1.4001308975E+02          4.5006187439E+01          5.2149667070E+01          4.7000000000E+01          0.0000000000E+00          6.1267688829E+02          1.8275640004E+00          1.8275640004E+00          1.8275640004E+00          3.2128232974E-01          3.4840355415E+00          2.5844825794E+00          2.5844825794E+00          2.5844825794E+00          2.5844825794E+00          2.5844825794E+00          2.5844825794E+00          0.0000000000E+00          
2015-07-15                05:08:09.552              195.21399944              4685.135987               196.21399944              1436951289.552            4                         963                       1.4001308975E+02          4.5006187439E+01          5.2149667070E+01          4.7000000000E+01          0.0000000000E+00          6.1323155641E+02          1.8275108975E+00          1.8275108975E+00          1.8275108975E+00          3.2130618173E-01          3.5397926689E+00          2.5869183577E+00          2.5869183577E+00          2.5869183577E+00          2.5869183577E+00          2.5869183577E+00          2.5869183577E+00          0.0000000000E+00          
2015-07-15                05:08:10.184              195.21400677              4685.136162               196.21400677              1436951290.185            4                         963                       1.4001504214E+02          4.5006026281E+01          5.2187500000E+01          2.0000000000E+00          0.0000000000E+00          6.1369054458E+02          1.8274670519E+00          1.8274670519E+00          1.8274670519E+00          3.1625920052E-01          3.5858676105E+00          2.5889340673E+00          2.5889340673E+00          2.5889340673E+00          2.5889340673E+00          2.5889340673E+00          2.5889340673E+00          0.0000000000E+00          
2015-07-15                05:08:10.927              195.21401536              4685.136369               196.21401536              1436951290.927            4                         963                       1.3998715210E+02          4.5006004333E+01          5.2187500000E+01          4.6000000000E+01          0.0000000000E+00          6.1419272817E+02          1.8273380778E+00          1.8273380778E+00          1.8273380778E+00          3.1032108289E-01          3.5062392649E+00          2.5880530893E+00          2.5880530893E+00          2.5880530893E+00          2.5880530893E+00          2.5880530893E+00          2.5880530893E+00          0.0000000000E+00          
