"TIMESTAMP","Sensor01","Sensor02","Sensor03","Sensor04","Sensor05","Sensor06","Sensor07","Sensor08","Sensor09","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","Sensor22","Sensor23","Sensor24","Sensor25","Sensor26","Sensor27","Sensor28","Sensor29","Sensor30","Sensor31","Sensor32","Sensor33","Sensor34","Sensor35","TIMESTAMP2","Hour","Hour2","Date","Date2"
"10/23/15 0:00","46.45","45.24","46.29","46.31","43.34","40.09","33.96","42.57","46.78","49.57","41.49","48.32","42.91","47.5","45.41","48.11","41.99","43.81","48.6","45.94","NAN","NAN","46.36","49","43.53","41.94","43.14","39.43","50.17","46.29","46.73","45.36","44.35","48.18","40.42","2015-10-23 00:00:00","0:00",0,"10/23/15","2015-10-23"
"10/23/15 1:00","46.3","45.25","46.29","46.2","43.29","40.18","34.04","42.51","46.75","49.54","41.45","48.46","42.9","47.43","45.33","48.07","42","43.75","48.69","45.98","NAN","NAN","46.33","48.97","43.49","41.97","43.09","39.16","50.06","46.29","46.66","45.58","44.29","47.82","40.39","2015-10-23 01:00:00","1:00",1,"10/23/15","2015-10-23"
"10/23/15 2:00","46.21","45.25","46.28","46.21","43.27","40.3","34.17","42.45","46.7","49.54","41.44","48.52","42.92","47.37","45.28","48.04","41.99","43.71","48.79","46.01","NAN","NAN","46.29","48.93","43.47","42.11","43.05","38.99","50.01","46.29","46.58","45.79","44.28","47.78","40.39","2015-10-23 02:00:00","2:00",2,"10/23/15","2015-10-23"
"10/23/15 3:00","46.23","45.29","46.28","46.16","43.2","40.27","34.31","42.4","46.68","49.52","41.43","48.1","42.94","47.36","45.3","48.01","42","43.67","48.72","46.01","NAN","NAN","46.29","48.91","43.41","41.99","43","38.89","49.94","46.27","46.55","45.78","44.21","47.77","40.36","2015-10-23 03:00:00","3:00",3,"10/23/15","2015-10-23"
"10/23/15 4:00","46.2","45.27","46.24","46.16","43.2","40.32","34.44","42.4","46.63","49.52","41.43","48.02","42.97","47.31","45.24","47.97","41.96","43.67","48.68","45.98","NAN","NAN","46.25","48.91","43.4","42.01","43","38.91","49.99","46.29","46.51","45.79","44.21","47.77","40.36","2015-10-23 04:00:00","4:00",4,"10/23/15","2015-10-23"
"10/23/15 5:00","46.13","45.2","46.2","46.16","43.2","40.37","34.57","42.34","46.63","49.5","41.39","48.01","42.99","47.3","45.16","47.97","41.93","43.66","48.64","45.98","NAN","NAN","46.22","48.9","43.34","42.01","43","38.95","49.99","46.27","46.49","45.76","44.18","47.77","40.36","2015-10-23 05:00:00","5:00",5,"10/23/15","2015-10-23"
"10/23/15 6:00","46.21","45.33","46.27","46.18","43.25","40.43","34.73","42.33","46.64","49.59","41.44","48.32","43.07","47.29","45.25","48.02","42.02","43.7","48.68","46.04","NAN","NAN","46.28","48.87","43.39","42.19","43","39.1","50.02","46.28","46.49","45.94","44.27","47.8","40.45","2015-10-23 06:00:00","6:00",6,"10/23/15","2015-10-23"
"10/23/15 7:00","46.39","45.56","46.36","46.28","43.25","40.54","34.91","42.39","46.7","49.65","41.49","48.02","43.23","47.23","45.35","48.08","42.11","43.74","48.73","46.08","NAN","NAN","46.36","48.92","43.45","42.32","43.07","39.44","50.2","46.48","46.56","46.09","44.32","47.87","40.57","2015-10-23 07:00:00","7:00",7,"10/23/15","2015-10-23"
"10/23/15 8:00","46.49","45.58","46.43","46.36","43.24","40.61","35.09","42.4","46.75","49.65","41.53","47.76","43.31","47.27","45.35","48.11","42.13","43.8","48.73","46.05","NAN","NAN","46.36","48.98","43.5","42.42","43.11","39.75","50.32","46.63","46.61","46.18","44.34","47.92","40.68","2015-10-23 08:00:00","8:00",8,"10/23/15","2015-10-23"
"10/23/15 9:00","46.53","45.55","46.42","46.33","43.2","40.51","35.26","42.42","46.77","49.64","41.52","47.32","43.29","47.22","45.43","48.1","42.06","43.8","48.53","45.99","NAN","NAN","46.39","48.97","43.48","42.22","43.13","39.75","50.31","46.6","46.64","45.99","44.34","47.9","40.7","2015-10-23 09:00:00","9:00",9,"10/23/15","2015-10-23"
