"TIMESTAMP","Sensor01","Sensor02","Sensor03","Sensor04","Sensor05","Sensor06","Sensor07","Sensor08","Sensor09","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","Sensor22","Sensor23","Sensor24","Sensor25","Sensor26","Sensor27","Sensor28","Sensor29","Sensor30","Sensor31","Sensor32","Sensor33","Sensor34","Sensor35","TIMESTAMP2","Hour","Hour2","Date","Date2"
"10/23/15 0:00","23.68","23.85","23.74","23.57","23.75","23.74","23.55","23.32","23.67","23.57","23.71","23.65","23.64","23.51","23.53","23.53","23.56","23.71","23.49","23.55","23.5","23.44","23.5","23.69","23.58","23.47","23.51","23.32","23.51","23.57","23.47","23.47","23.65","23.53","23.66","2015-10-23 00:00:00","0:00",0,"10/23/15","2015-10-23"
"10/23/15 1:00","23.35","23.59","23.48","23.27","23.53","23.5","23.21","22.98","23.4","23.28","23.47","23.48","23.35","23.14","23.26","23.23","23.28","23.53","23.23","23.36","23.24","23.09","23.19","23.46","23.3","23.19","23.23","23.01","23.14","23.35","23.19","23.24","23.38","23.25","23.5","2015-10-23 01:00:00","1:00",1,"10/23/15","2015-10-23"
"10/23/15 2:00","23.2","23.42","23.34","23.09","23.37","23.3","23.06","22.82","23.23","23.11","23.29","23.34","23.19","22.98","23.12","23.07","23.11","23.39","23.07","23.19","23.09","22.92","23.01","23.3","23.14","22.99","23.02","22.84","22.96","23.21","23.02","23.09","23.17","23.09","23.35","2015-10-23 02:00:00","2:00",2,"10/23/15","2015-10-23"
"10/23/15 3:00","23.29","23.44","23.39","23.14","23.39","23.32","23.12","22.91","23.27","23.16","23.33","23.36","23.23","23.07","23.17","23.14","23.19","23.39","23.11","23.2","23.15","22.99","23.08","23.33","23.2","23.03","23.08","22.91","23.05","23.23","23.09","23.13","23.2","23.15","23.36","2015-10-23 03:00:00","3:00",3,"10/23/15","2015-10-23"
"10/23/15 4:00","23.18","23.39","23.34","23.08","23.34","23.28","23.08","22.83","23.24","23.11","23.28","23.31","23.19","23.01","23.1","23.08","23.12","23.34","23.05","23.15","23.1","22.94","23.04","23.29","23.13","22.99","23.02","22.86","23","23.17","23.03","23.06","23.16","23.1","23.32","2015-10-23 04:00:00","4:00",4,"10/23/15","2015-10-23"
"10/23/15 5:00","23.14","23.37","23.3","23.03","23.33","23.26","23.05","22.8","23.22","23.07","23.26","23.28","23.18","23","23.06","23.04","23.1","23.32","23.03","23.12","23.07","22.93","23","23.26","23.11","22.97","23.01","22.84","22.95","23.16","23","23.07","23.12","23.09","23.3","2015-10-23 05:00:00","5:00",5,"10/23/15","2015-10-23"
"10/23/15 6:00","23.19","23.33","23.27","23.02","23.26","23.23","23.01","22.82","23.19","23.05","23.19","23.24","23.14","22.97","23.06","23.03","23.07","23.29","22.98","23.09","23.04","22.89","22.95","23.23","23.06","22.92","22.96","22.83","22.93","23.12","22.97","23.02","23.06","23.02","23.25","2015-10-23 06:00:00","6:00",6,"10/23/15","2015-10-23"
"10/23/15 7:00","23.15","23.29","23.28","23.03","23.28","23.2","23.03","22.85","23.21","23.06","23.19","23.25","23.14","22.98","23.05","23.05","23.1","23.27","22.98","23.08","23.03","22.89","23.01","23.22","23.08","22.86","22.95","22.85","22.95","23.1","22.96","23.01","23.06","23.04","23.25","2015-10-23 07:00:00","7:00",7,"10/23/15","2015-10-23"
"10/23/15 8:00","23.11","23.3","23.27","23.02","23.29","23.18","23.05","22.84","23.21","23.04","23.18","23.24","23.15","23","23.04","23.06","23.13","23.27","22.98","23.07","23.04","22.92","23.02","23.22","23.09","22.86","22.96","22.85","22.97","23.09","22.95","22.99","23.08","23.05","23.24","2015-10-23 08:00:00","8:00",8,"10/23/15","2015-10-23"
"10/23/15 9:00","23.52","23.61","23.65","23.41","23.53","23.47","23.51","23.29","23.5","23.41","23.43","23.43","23.52","23.51","23.37","23.38","23.51","23.48","23.28","23.27","23.37","23.36","23.37","23.47","23.47","23.19","23.28","23.25","23.49","23.31","23.33","23.21","23.39","23.39","23.41","2015-10-23 09:00:00","9:00",9,"10/23/15","2015-10-23"
"10/23/15 10:00","24","23.99","24.07","23.86","23.85","23.85","23.95","23.8","23.85","23.82","23.8","23.66","23.94","24.02","23.78","23.78","23.92","23.74","23.69","23.52","23.74","23.84","23.79","23.78","23.87","23.63","23.75","23.71","24.03","23.63","23.75","23.56","23.8","23.77","23.68","2015-10-23 10:00:00","10:00",10,"10/23/15","2015-10-23"
"10/23/15 11:00","24.47","24.44","24.59","24.39","24.21","24.27","24.54","24.37","24.29","24.33","24.17","23.95","24.44","24.7","24.28","24.24","24.46","24.06","24.16","23.81","24.23","24.42","24.29","24.21","24.39","24.08","24.28","24.22","24.75","23.99","24.26","23.9","24.33","24.27","23.98","2015-10-23 11:00:00","11:00",11,"10/23/15","2015-10-23"
"10/23/15 12:00","24.8","24.76","24.95","24.73","24.51","24.58","24.9","24.71","24.59","24.7","24.47","24.17","24.75","24.98","24.57","24.56","24.78","24.3","24.49","24.05","24.51","24.77","24.66","24.5","24.73","24.44","24.66","24.52","25.12","24.26","24.59","24.2","24.71","24.6","24.21","2015-10-23 12:00:00","12:00",12,"10/23/15","2015-10-23"
