SensorID,Slope,Intercept
Sensor01,0.004220387,0.01266116
Sensor02,0.004301848,0.012905544
Sensor03,0.004358228,0.013074683
Sensor04,0.004290395,0.012871186
Sensor05,0.004260728,0.012782184
Sensor06,0.004436679,0.013310038
Sensor07,0.004329407,0.012988221
Sensor08,0.00456626,0.013698779
Sensor09,0.004526793,0.01358038
Sensor10,0.004206827,0.012620482
Sensor11,0.004798443,0.014395328
Sensor12,0.004133781,0.012401342
Sensor13,0.004392954,0.013178863
Sensor14,0.004099002,0.012297006
Sensor15,0.004420764,0.013262292
Sensor16,0.004220387,0.01266116
Sensor17,0.004443266,0.013329799
Sensor18,0.004343769,0.013031308
Sensor19,0.004045964,0.012137891
Sensor20,0.004104624,0.012313871
Sensor21,0.003979107,0.011937322
Sensor22,0.00423746,0.012712379
Sensor23,0.004225494,0.012676482
Sensor24,0.0040982,0.012294601
Sensor25,0.004337474,0.013012422
Sensor26,0.00460642,0.013819261
Sensor27,0.004385598,0.013156793
Sensor28,0.004151803,0.01245541
Sensor29,0.004163355,0.012490064
Sensor30,0.004129706,0.012389119
Sensor31,0.004066382,0.012199146
Sensor32,0.004248631,0.012745893
Sensor33,0.004231468,0.012694405
Sensor34,0.004141953,0.01242586
Sensor35,0.00423746,0.012712379
