Date,Sensor01,Sensor02,Sensor03,Sensor04,Sensor05,Sensor06,Sensor07,Sensor08,Sensor09,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35
11/14/14,0.18,0.17,0.17,0.14,0.17,0.13,0,0.17,0.19,0.19,0.17,0.16,0.14,0,0.17,0.18,0.18,0.16,0.16,0.16,0,0.18,0.17,0.17,0.17,0.18,0.16,0.02,0.18,0.19,0.16,0.16,0.15,0.17,0
11/15/14,0.18,0.17,0.17,0.14,0.17,0.14,0.05,0.18,0.19,0.19,0.17,0.16,0.15,0,0.18,0.18,0.18,0.16,0.17,0.16,0.01,0.18,0.17,0.17,0.17,0.18,0.16,0.04,0.19,0.19,0.16,0.16,0.15,0.17,0
11/16/14,0.18,0.16,0.17,0.14,0.18,0.12,0.07,0.18,0.2,0.19,0.17,0.17,0.13,0,0.18,0.18,0.18,0.16,0.17,0.16,0.01,0.19,0.16,0.17,0.17,0.18,0.15,0.04,0.19,0.19,0.16,0.16,0.14,0.17,0
11/17/14,0.18,0.16,0.17,0.13,0.18,0.12,0.06,0.18,0.2,0.19,0.17,0.17,0.13,0,0.19,0.18,0.18,0.16,0.17,0.16,0.01,0.19,0.17,0.17,0.17,0.18,0.14,0.04,0.19,0.19,0.16,0.15,0.13,0.16,0
11/18/14,0.18,0.17,0.18,0.13,0.18,0.12,0.06,0.18,0.2,0.19,0.17,0.17,0.13,0,0.19,0.18,0.19,0.16,0.17,0.15,0.01,0.19,0.17,0.17,0.17,0.18,0.14,0.04,0.19,0.19,0.16,0.15,0.14,0.14,0
11/19/14,0.18,0.16,0.18,0.12,0.18,0.11,0.05,0.18,0.19,0.19,0.17,0.16,0.12,0,0.18,0.18,0.18,0.16,0.16,0.15,0.01,0.19,0.17,0.17,0.17,0.18,0.12,0.04,0.19,0.19,0.16,0.15,0.13,0.11,0
11/20/14,0.18,0.17,0.18,0.12,0.18,0.11,0.05,0.18,0.19,0.19,0.17,0.16,0.12,0,0.18,0.18,0.18,0.16,0.16,0.14,0.01,0.19,0.17,0.17,0.17,0.18,0.11,0.04,0.19,0.19,0.16,0.15,0.13,0.09,0
11/21/14,0.18,0.17,0.18,0.13,0.18,0.12,0.05,0.18,0.19,0.19,0.17,0.16,0.13,0,0.18,0.18,0.18,0.16,0.16,0.14,0.01,0.19,0.17,0.17,0.17,0.18,0.12,0.04,0.19,0.19,0.16,0.15,0.13,0.08,0
11/22/14,0.16,0.15,0.17,0.12,0.18,0.1,0.04,0.18,0.19,0.18,0.16,0.15,0.16,0,0.18,0.17,0.18,0.16,0.16,0.14,0,0.18,0.16,0.17,0.17,0.17,0.12,0.04,0.18,0.18,0.16,0.15,0.11,0.07,0
11/23/14,0.17,0.16,0.17,0.12,0.18,0.1,0.04,0.18,0.19,0.18,0.16,0.17,0.15,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.17,0.17,0.16,0.18,0.11,0.04,0.18,0.19,0.16,0.15,0.13,0.07,0
