Date,contday,TRANSECT,LOCATION,O2,O2PCT,Moisture,Moisturepct,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,1,0.18,17.80,0.33,32.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,2,0.17,16.97,0.32,31.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,3,0.17,16.95,0.38,38.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,4,0.14,13.74,0.47,46.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,5,0.17,16.96,0.39,38.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,6,0.13,13.18,0.48,47.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,1,7,0.00,0.32,0.49,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,1,0.17,17.30,0.45,45.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,2,0.19,18.66,0.35,35.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,3,0.19,19.16,0.40,39.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,4,0.17,17.45,0.40,40.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,5,0.16,15.82,0.40,40.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,6,0.14,14.40,0.40,40.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,1,0.17,17.18,0.38,38.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,2,0.18,18.06,0.43,42.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,3,0.18,18.13,0.39,39.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,4,0.16,16.47,0.43,43.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,5,0.16,16.46,0.45,44.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,6,0.16,16.30,0.45,44.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,3,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,1,0.18,18.23,0.45,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,2,0.17,16.74,0.44,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,3,0.17,17.10,0.23,23.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,4,0.17,17.17,0.41,41.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,5,0.18,17.68,0.35,34.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,6,0.16,15.66,0.41,41.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,4,7,0.02,2.31,0.49,48.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,1,0.18,18.36,0.34,34.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,2,0.19,18.66,0.36,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,3,0.16,16.14,0.46,46.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,4,0.16,15.96,0.45,45.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,5,0.15,14.74,0.42,42.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,6,0.17,17.06,0.45,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,1,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,1,0.18,18.25,0.34,33.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,2,0.17,17.00,0.32,32.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,3,0.17,16.91,0.39,38.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,4,0.14,13.94,0.47,47.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
