Date,Sensor01,Sensor02,Sensor03,Sensor04,Sensor05,Sensor06,Sensor07,Sensor08,Sensor09,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/14,0.33,0.32,0.38,0.47,0.39,0.48,0.49,0.45,0.35,0.40,0.40,0.40,0.40,0.53,0.38,0.43,0.39,0.43,0.45,0.45,0.53,0.45,0.44,0.23,0.41,0.35,0.41,0.49,0.34,0.36,0.46,0.45,0.42,0.45,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,0.34,0.32,0.39,0.47,0.40,0.48,0.50,0.45,0.35,0.40,0.40,0.40,0.41,0.53,0.38,0.43,0.40,0.44,0.45,0.45,0.52,0.44,0.44,0.25,0.42,0.36,0.41,0.50,0.35,0.37,0.47,0.46,0.43,0.46,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,0.43,0.36,0.45,0.51,0.42,0.50,0.52,0.48,0.40,0.44,0.45,0.42,0.44,0.53,0.42,0.45,0.45,0.47,0.48,0.48,0.53,0.45,0.47,0.31,0.46,0.41,0.45,0.52,0.40,0.40,0.49,0.49,0.46,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,0.43,0.38,0.46,0.51,0.43,0.50,0.53,0.49,0.41,0.44,0.46,0.43,0.45,0.53,0.43,0.45,0.45,0.47,0.48,0.48,0.53,0.45,0.47,0.30,0.47,0.41,0.46,0.52,0.40,0.41,0.49,0.49,0.46,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,0.42,0.36,0.45,0.50,0.42,0.50,0.52,0.48,0.40,0.43,0.45,0.43,0.43,0.53,0.43,0.44,0.44,0.46,0.47,0.47,0.53,0.45,0.46,0.29,0.46,0.40,0.44,0.51,0.40,0.41,0.48,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,0.44,0.38,0.47,0.51,0.43,0.50,0.52,0.49,0.42,0.44,0.46,0.43,0.44,0.53,0.44,0.45,0.45,0.47,0.48,0.48,0.53,0.46,0.47,0.31,0.47,0.41,0.45,0.52,0.41,0.42,0.49,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,0.43,0.37,0.47,0.51,0.43,0.50,0.52,0.49,0.41,0.44,0.46,0.43,0.44,0.53,0.44,0.45,0.45,0.47,0.47,0.47,0.53,0.46,0.47,0.30,0.46,0.40,0.45,0.52,0.40,0.42,0.49,0.48,0.45,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,0.43,0.37,0.47,0.50,0.43,0.50,0.52,0.49,0.41,0.44,0.46,0.43,0.44,0.53,0.44,0.45,0.44,0.47,0.47,0.47,0.53,0.47,0.47,0.30,0.46,0.40,0.45,0.51,0.41,0.42,0.48,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/14,0.43,0.37,0.47,0.50,0.42,0.50,0.52,0.49,0.41,0.44,0.47,0.43,0.44,0.53,0.44,0.45,0.44,0.48,0.47,0.47,0.53,0.47,0.47,0.30,0.46,0.40,0.44,0.51,0.41,0.43,0.48,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/14,0.44,0.38,0.47,0.51,0.44,0.50,0.52,0.49,0.41,0.45,0.47,0.42,0.45,0.53,0.44,0.45,0.46,0.48,0.47,0.47,0.53,0.47,0.48,0.33,0.47,0.41,0.45,0.52,0.41,0.42,0.49,0.50,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/14,0.45,0.39,0.48,0.51,0.44,0.51,0.53,0.49,0.42,0.45,0.47,0.43,0.45,0.53,0.45,0.46,0.46,0.49,0.48,0.48,0.53,0.48,0.48,0.34,0.48,0.42,0.46,0.52,0.42,0.43,0.49,0.50,0.47,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/14,0.45,0.39,0.48,0.51,0.43,0.51,0.52,0.49,0.42,0.45,0.48,0.43,0.46,0.53,0.45,0.46,0.47,0.49,0.48,0.48,0.53,0.48,0.48,0.34,0.49,0.43,0.46,0.52,0.42,0.44,0.49,0.50,0.47,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/14,0.44,0.38,0.48,0.51,0.42,0.50,0.52,0.49,0.41,0.44,0.47,0.43,0.45,0.53,0.45,0.45,0.46,0.48,0.47,0.48,0.53,0.48,0.47,0.32,0.48,0.41,0.45,0.52,0.41,0.43,0.49,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/14,0.42,0.36,0.46,0.50,0.41,0.49,0.52,0.48,0.40,0.43,0.46,0.42,0.44,0.53,0.44,0.44,0.45,0.47,0.46,0.47,0.53,0.47,0.47,0.31,0.47,0.39,0.44,0.51,0.40,0.43,0.47,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/14,0.44,0.38,0.47,0.51,0.42,0.50,0.52,0.49,0.40,0.44,0.46,0.42,0.45,0.53,0.44,0.45,0.46,0.49,0.47,0.47,0.53,0.47,0.47,0.34,0.48,0.40,0.44,0.52,0.40,0.43,0.49,0.50,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/14,0.43,0.38,0.47,0.50,0.41,0.50,0.52,0.48,0.41,0.43,0.46,0.42,0.44,0.53,0.44,0.45,0.46,0.48,0.47,0.47,0.53,0.47,0.47,0.32,0.48,0.40,0.45,0.52,0.40,0.43,0.48,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/14,0.45,0.40,0.49,0.51,0.43,0.51,0.53,0.49,0.42,0.45,0.47,0.42,0.47,0.53,0.45,0.46,0.48,0.50,0.48,0.48,0.53,0.47,0.48,0.34,0.49,0.43,0.47,0.53,0.41,0.43,0.50,0.51,0.48,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/14,0.45,0.41,0.49,0.52,0.43,0.51,0.53,0.49,0.43,0.45,0.48,0.43,0.48,0.53,0.46,0.45,0.47,0.49,0.48,0.48,0.53,0.48,0.48,0.34,0.49,0.42,0.46,0.53,0.42,0.44,0.50,0.51,0.47,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/14,0.45,0.43,0.49,0.51,0.43,0.51,0.53,0.49,0.42,0.45,0.48,0.43,0.48,0.53,0.45,0.46,0.48,0.49,0.48,0.48,0.53,0.47,0.48,0.34,0.49,0.42,0.46,0.53,0.42,0.44,0.49,0.50,0.47,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/14,0.45,0.45,0.49,0.52,0.43,0.51,0.53,0.50,0.42,0.45,0.48,0.43,0.48,0.53,0.46,0.46,0.48,0.49,0.48,0.48,0.53,0.48,0.48,0.35,0.49,0.42,0.46,0.53,0.42,0.44,0.50,0.50,0.47,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
