SensorID,TransectID
Sensor01,Transect1
Sensor02,Transect1
Sensor03,Transect1
Sensor04,Transect1
Sensor05,Transect1
Sensor06,Transect1
Sensor07,Transect1
Sensor08,Transect2
Sensor09,Transect2
Sensor10,Transect2
Sensor11,Transect2
Sensor12,Transect2
Sensor13,Transect2
Sensor14,Transect2
Sensor15,Transect3
Sensor16,Transect3
Sensor17,Transect3
Sensor18,Transect3
Sensor19,Transect3
Sensor20,Transect3
Sensor21,Transect3
Sensor22,Transect4
Sensor23,Transect4
Sensor24,Transect4
Sensor25,Transect4
Sensor26,Transect4
Sensor27,Transect4
Sensor28,Transect4
Sensor29,Transect5
Sensor30,Transect5
Sensor31,Transect5
Sensor32,Transect5
Sensor33,Transect5
Sensor34,Transect5
Sensor35,Transect5
