TOA5,CR1000,CR1000,53628,CR1000.Std.25,CPU:19 CS655 06'2015.CR1,15202,EIsoilT1June2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,VWC_Avg,T_Avg,VWC_2_Avg,T_2_Avg,VWC_3_Avg,T_3_Avg,VWC_4_Avg,T_4_Avg,VWC_5_Avg,T_5_Avg,VWC_6_Avg,T_6_Avg,VWC_7_Avg,T_7_Avg,VWC_8_Avg,T_8_Avg,VWC_9_Avg,T_9_Avg,VWC_10_Avg,T_10_Avg,VWC_11_Avg,T_11_Avg,VWC_12_Avg,T_12_Avg,VWC_13_Avg,T_13_Avg,VWC_14_Avg,T_14_Avg,VWC_15_Avg,T_15_Avg,VWC_16_Avg,T_16_Avg,VWC_17_Avg,T_17_Avg,VWC_18_Avg,T_18_Avg,VWC_19_Avg,T_19_Avg,VWC,T,VWC_2,T_2,VWC_3,T_3,VWC_4,T_4,VWC_5,T_5,VWC_6,T_6,VWC_7,T_7,VWC_8,T_8,VWC_9,T_9,VWC_10,T_10,VWC_11,T_11,VWC_12,T_12,VWC_13,T_13,VWC_14,T_14,VWC_15,T_15,VWC_16,T_16,VWC_17,T_17,VWC_18,T_18,VWC_19,T_19
TS,RN,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
10/23/15 0:00,2580,0.151,23.68,0.196,23.85,0.206,23.74,0.392,23.57,0.314,23.75,0.405,23.74,0.405,23.55,0.403,23.32,0.276,23.67,0.161,23.57,0.123,23.71,0.415,23.65,0.3,23.64,0.392,23.51,0.304,23.53,0.399,23.53,0.298,23.56,0.418,23.71,0.379,23.49,0.151,23.57,0.196,23.72,0.206,23.63,0.392,23.46,0.314,23.65,0.405,23.62,0.405,23.42,0.403,23.19,0.276,23.54,0.161,23.43,0.123,23.62,0.415,23.59,0.3,23.51,0.392,23.34,0.303,23.41,0.399,23.41,0.298,23.43,0.418,23.63,0.379,23.38
10/23/15 1:00,2581,0.151,23.35,0.196,23.59,0.206,23.48,0.392,23.27,0.314,23.53,0.404,23.5,0.405,23.21,0.402,22.98,0.277,23.4,0.161,23.28,0.123,23.47,0.415,23.48,0.299,23.35,0.392,23.14,0.303,23.26,0.399,23.23,0.298,23.28,0.418,23.53,0.379,23.23,0.151,23.14,0.196,23.47,0.206,23.37,0.392,23.09,0.314,23.43,0.404,23.39,0.405,23.05,0.402,22.79,0.276,23.28,0.161,23.14,0.123,23.35,0.415,23.39,0.299,23.21,0.392,22.97,0.303,23.11,0.399,23.1,0.298,23.14,0.418,23.45,0.378,23.11
10/23/15 2:00,2582,0.151,23.2,0.195,23.42,0.206,23.34,0.391,23.09,0.314,23.37,0.404,23.3,0.405,23.06,0.403,22.82,0.276,23.23,0.161,23.11,0.123,23.29,0.415,23.34,0.299,23.19,0.392,22.98,0.302,23.12,0.399,23.07,0.298,23.11,0.418,23.39,0.378,23.07,0.151,23.26,0.195,23.43,0.206,23.37,0.392,23.15,0.314,23.37,0.404,23.27,0.405,23.1,0.403,22.9,0.276,23.26,0.161,23.16,0.123,23.29,0.415,23.33,0.299,23.23,0.392,23.02,0.302,23.17,0.398,23.12,0.298,23.14,0.418,23.37,0.378,23.1
10/23/15 3:00,2583,0.151,23.29,0.195,23.44,0.206,23.39,0.392,23.14,0.314,23.39,0.404,23.32,0.405,23.12,0.403,22.91,0.276,23.27,0.16,23.16,0.123,23.33,0.415,23.36,0.299,23.23,0.392,23.07,0.302,23.17,0.398,23.14,0.298,23.19,0.418,23.39,0.378,23.11,0.151,23.3,0.195,23.45,0.206,23.4,0.392,23.17,0.314,23.38,0.404,23.3,0.405,23.09,0.403,22.95,0.276,23.25,0.16,23.16,0.123,23.31,0.415,23.33,0.299,23.24,0.392,23.08,0.301,23.17,0.398,23.14,0.298,23.19,0.417,23.4,0.378,23.07
10/23/15 4:00,2584,0.151,23.18,0.195,23.39,0.206,23.34,0.392,23.08,0.314,23.34,0.404,23.28,0.405,23.08,0.403,22.83,0.276,23.24,0.16,23.11,0.124,23.28,0.415,23.31,0.299,23.19,0.391,23.01,0.301,23.1,0.398,23.08,0.301,23.12,0.417,23.34,0.378,23.05,0.151,23.14,0.194,23.43,0.206,23.28,0.391,23.08,0.314,23.34,0.404,23.27,0.405,23.07,0.403,22.81,0.276,23.24,0.16,23.1,0.124,23.27,0.415,23.3,0.298,23.19,0.391,23.03,0.301,23.09,0.398,23.05,0.301,23.11,0.417,23.33,0.378,23.05
10/23/15 5:00,2585,0.151,23.14,0.194,23.37,0.206,23.3,0.391,23.03,0.314,23.33,0.404,23.26,0.405,23.05,0.403,22.8,0.276,23.22,0.16,23.07,0.124,23.26,0.415,23.28,0.298,23.18,0.391,23,0.3,23.06,0.398,23.04,0.302,23.1,0.417,23.32,0.378,23.03,0.151,23.14,0.194,23.33,0.206,23.24,0.391,23.01,0.314,23.28,0.404,23.23,0.405,23,0.403,22.73,0.276,23.18,0.16,23.03,0.124,23.24,0.415,23.26,0.298,23.12,0.391,22.98,0.3,23,0.398,22.95,0.302,23.03,0.417,23.29,0.378,23
10/23/15 6:00,2586,0.151,23.19,0.194,23.33,0.206,23.27,0.39,23.02,0.314,23.26,0.404,23.23,0.405,23.01,0.403,22.82,0.276,23.19,0.16,23.05,0.124,23.19,0.415,23.24,0.298,23.14,0.391,22.97,0.3,23.06,0.398,23.03,0.303,23.07,0.417,23.29,0.378,22.98,0.151,23.2,0.194,23.32,0.206,23.29,0.39,23.04,0.314,23.3,0.404,23.23,0.405,23.06,0.403,22.87,0.275,23.24,0.16,23.08,0.124,23.19,0.414,23.25,0.298,23.15,0.391,23,0.299,23.06,0.398,23.05,0.303,23.13,0.417,23.3,0.378,22.98
10/23/15 7:00,2587,0.151,23.15,0.195,23.29,0.206,23.28,0.39,23.03,0.314,23.28,0.403,23.2,0.405,23.03,0.403,22.85,0.275,23.21,0.16,23.06,0.124,23.19,0.414,23.25,0.298,23.14,0.391,22.98,0.299,23.05,0.398,23.05,0.303,23.1,0.417,23.27,0.378,22.98,0.151,23.13,0.197,23.26,0.206,23.27,0.389,23.03,0.314,23.28,0.403,23.19,0.405,23.04,0.402,22.88,0.275,23.22,0.16,23.06,0.124,23.17,0.414,23.24,0.298,23.15,0.391,22.98,0.299,23.02,0.398,23.05,0.304,23.13,0.417,23.27,0.378,22.99
