"TOA5","CR1000","CR1000","53630","CR1000.Std.25","CPU:moisture_depth_AM1632_v13.cr1","6207","DatoutCS655"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","T_1_Avg","P_1_Avg","PA_1_Avg","VR_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","P_2_Avg","PA_2_Avg","VR_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg","P_3_Avg","PA_3_Avg","VR_3_Avg","VWC_4_Avg","EC_4_Avg","T_4_Avg","P_4_Avg","PA_4_Avg","VR_4_Avg","VWC_5_Avg","EC_5_Avg","T_5_Avg","P_5_Avg","PA_5_Avg","VR_5_Avg","VWC_6_Avg","EC_6_Avg","T_6_Avg","P_6_Avg","PA_6_Avg","VR_6_Avg","VWC_7_Avg","EC_7_Avg","T_7_Avg","P_7_Avg","PA_7_Avg","VR_7_Avg","VWC_8_Avg","EC_8_Avg","T_8_Avg","P_8_Avg","PA_8_Avg","VR_8_Avg","VWC_9_Avg","EC_9_Avg","T_9_Avg","P_9_Avg","PA_9_Avg","VR_9_Avg","VWC_10_Avg","EC_10_Avg","T_10_Avg","P_10_Avg","PA_10_Avg","VR_10_Avg","VWC_11_Avg","EC_11_Avg","T_11_Avg","P_11_Avg","PA_11_Avg","VR_11_Avg","VWC_12_Avg","EC_12_Avg","T_12_Avg","P_12_Avg","PA_12_Avg","VR_12_Avg","VWC_13_Avg","EC_13_Avg","T_13_Avg","P_13_Avg","PA_13_Avg","VR_13_Avg","VWC_14_Avg","EC_14_Avg","T_14_Avg","P_14_Avg","PA_14_Avg","VR_14_Avg","VWC_15_Avg","EC_15_Avg","T_15_Avg","P_15_Avg","PA_15_Avg","VR_15_Avg","VWC_16_Avg","EC_16_Avg","T_16_Avg","P_16_Avg","PA_16_Avg","VR_16_Avg","VWC_17_Avg","EC_17_Avg","T_17_Avg","P_17_Avg","PA_17_Avg","VR_17_Avg","VWC_18_Avg","EC_18_Avg","T_18_Avg","P_18_Avg","PA_18_Avg","VR_18_Avg","VWC_1_Std","EC_1_Std","T_1_Std","P_1_Std","PA_1_Std","VR_1_Std","VWC_2_Std","EC_2_Std","T_2_Std","P_2_Std","PA_2_Std","VR_2_Std","VWC_3_Std","EC_3_Std","T_3_Std","P_3_Std","PA_3_Std","VR_3_Std","VWC_4_Std","EC_4_Std","T_4_Std","P_4_Std","PA_4_Std","VR_4_Std","VWC_5_Std","EC_5_Std","T_5_Std","P_5_Std","PA_5_Std","VR_5_Std","VWC_6_Std","EC_6_Std","T_6_Std","P_6_Std","PA_6_Std","VR_6_Std","VWC_7_Std","EC_7_Std","T_7_Std","P_7_Std","PA_7_Std","VR_7_Std","VWC_8_Std","EC_8_Std","T_8_Std","P_8_Std","PA_8_Std","VR_8_Std","VWC_9_Std","EC_9_Std","T_9_Std","P_9_Std","PA_9_Std","VR_9_Std","VWC_10_Std","EC_10_Std","T_10_Std","P_10_Std","PA_10_Std","VR_10_Std","VWC_11_Std","EC_11_Std","T_11_Std","P_11_Std","PA_11_Std","VR_11_Std","VWC_12_Std","EC_12_Std","T_12_Std","P_12_Std","PA_12_Std","VR_12_Std","VWC_13_Std","EC_13_Std","T_13_Std","P_13_Std","PA_13_Std","VR_13_Std","VWC_14_Std","EC_14_Std","T_14_Std","P_14_Std","PA_14_Std","VR_14_Std","VWC_15_Std","EC_15_Std","T_15_Std","P_15_Std","PA_15_Std","VR_15_Std","VWC_16_Std","EC_16_Std","T_16_Std","P_16_Std","PA_16_Std","VR_16_Std","VWC_17_Std","EC_17_Std","T_17_Std","P_17_Std","PA_17_Std","VR_17_Std","VWC_18_Std","EC_18_Std","T_18_Std","P_18_Std","PA_18_Std","VR_18_Std","VW_1_Avg","PA_uS_1_Avg","VW_2_Avg","PA_uS_2_Avg","VW_1_Std","PA_uS_1_Std","VW_2_Std","PA_uS_2_Std","BattV_Min","BattV_TMn","PTemp_C_Max","PTemp_C_TMx"
"TS","RN","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","","","","","","","","","Volts","Volts","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Min","TMn","Max","TMx"
"2016-08-01 17:00:00",0,0.322,0.029,23.94,18.15,1.699,1.037,0.454,0.043,23.93,31.35,1.972,1.054,0.477,0.045,23.62,34.63,2.024,1.058,0.462,0.042,23.63,32.37,1.992,1.053,0.477,0.039,23.77,34.53,2.037,1.049,0.429,0.029,23.75,28.14,1.91,1.037,0.443,0.042,23.81,29.89,1.944,1.05,0.461,0.042,23.68,32.25,1.99,1.052,0.33,0.021,23.61,18.78,1.707,1.026,0.511,0.378,23.37,40.14,2.113,1.478,0.519,0.307,23.27,41.52,2.151,1.395,0.497,0.227,23.1,37.74,2.093,1.288,0.5,0.225,23.32,38.19,2.096,1.287,0.149,0.064,23.19,8.07,1.413,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.67,"2016-08-01 17:00:00",26.5,"2016-08-01 17:00:00"
"2016-08-01 18:00:00",1,0.321,0.029,23.93,18.11,1.698,1.037,0.454,0.043,23.93,31.23,1.97,1.053,0.468,0.044,23.63,33.25,1.999,1.056,0.461,0.042,23.64,32.33,1.991,1.053,0.476,0.039,23.74,34.42,2.035,1.049,0.429,0.029,23.74,28.12,1.91,1.037,0.443,0.042,23.79,29.85,1.943,1.05,0.461,0.042,23.7,32.22,1.99,1.052,0.33,0.021,23.6,18.76,1.706,1.026,0.511,0.377,23.34,40.14,2.113,1.477,0.519,0.305,23.26,41.52,2.151,1.393,0.497,0.227,23.15,37.74,2.093,1.288,0.5,0.225,23.32,38.19,2.096,1.287,0.149,0.063,23.21,8.07,1.413,1.079,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.015,0.035,0.001,0,0,0,0.017,0.045,0.001,0,0.005,0.001,0.014,0.698,0.013,0.001,0,0,0.014,0.036,0.001,0,0,0,0.013,0.053,0.001,0,0,0,0.009,0.028,0.001,0,0,0,0.017,0.04,0.001,0,0,0,0.016,0.03,0.001,0,0,0,0.012,0.024,0.001,0,0,0.001,0.019,0.001,0,0.001,0,0.001,0.007,0.002,0,0.001,0,0.001,0.013,0.001,0,0.001,0,0.001,0.007,0.001,0,0.001,0,0.001,0.014,0.003,0,0.001,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.69,"2016-08-01 17:05:00",26.5,"2016-08-01 17:05:00"
"2016-08-01 19:00:00",2,0.32,0.029,23.92,18,1.695,1.037,0.453,0.043,23.92,31.12,1.968,1.053,0.455,0.042,23.61,31.41,1.965,1.053,0.461,0.042,23.64,32.23,1.989,1.053,0.475,0.039,23.77,34.29,2.033,1.049,0.428,0.029,23.73,28.04,1.908,1.037,0.442,0.041,23.8,29.73,1.941,1.05,0.46,0.042,23.7,32.18,1.989,1.052,0.329,0.021,23.6,18.68,1.704,1.026,0.511,0.378,23.36,40.14,2.113,1.477,0.519,0.306,23.27,41.52,2.151,1.394,0.497,0.226,23.14,37.77,2.094,1.287,0.5,0.225,23.32,38.19,2.096,1.287,0.15,0.063,23.21,8.1,1.414,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.015,0.032,0.001,0,0,0,0.015,0.041,0.001,0,0.003,0.001,0.009,0.439,0.008,0.001,0,0,0.011,0.029,0.001,0,0,0,0.007,0.037,0.001,0,0,0,0.01,0.024,0,0,0,0,0.02,0.04,0.001,0,0,0,0.01,0.017,0,0,0,0,0.009,0.028,0.001,0,0,0.002,0.01,0.001,0,0.002,0,0.001,0.008,0.002,0,0.001,0,0.001,0.02,0.033,0.001,0.001,0,0,0.005,0.001,0,0.001,0,0,0.01,0.013,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.69,"2016-08-01 18:20:00",25.89,"2016-08-01 18:05:00"
"2016-08-01 20:00:00",3,0.318,0.029,23.93,17.92,1.693,1.036,0.452,0.043,23.91,31.02,1.966,1.053,0.446,0.04,23.61,30.21,1.942,1.051,0.46,0.042,23.63,32.17,1.988,1.052,0.474,0.039,23.79,34.17,2.03,1.049,0.427,0.029,23.74,27.96,1.907,1.037,0.441,0.041,23.79,29.64,1.939,1.05,0.46,0.042,23.7,32.13,1.988,1.052,0.328,0.021,23.61,18.62,1.703,1.026,0.511,0.378,23.37,40.14,2.113,1.477,0.519,0.306,23.26,41.52,2.151,1.394,0.497,0.227,23.15,37.8,2.094,1.288,0.5,0.225,23.32,38.19,2.096,1.287,0.15,0.063,23.21,8.11,1.414,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.021,0.03,0.001,0,0,0,0.012,0.029,0.001,0,0.002,0,0.013,0.236,0.005,0,0,0,0.013,0.029,0.001,0,0,0,0.013,0.039,0.001,0,0,0,0.005,0.025,0,0,0,0,0.012,0.029,0.001,0,0,0,0.012,0,0,0,0,0,0.015,0.023,0.001,0,0,0.001,0.018,0.001,0,0.002,0,0.001,0.011,0.002,0,0.001,0,0.001,0.008,0.001,0,0.001,0,0,0.012,0.001,0,0.001,0,0,0.006,0.003,0,0.001,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.68,"2016-08-01 19:35:00",25.19,"2016-08-01 19:05:00"
"2016-08-01 21:00:00",4,0.317,0.029,23.93,17.83,1.691,1.037,0.451,0.043,23.91,30.95,1.965,1.053,0.441,0.039,23.62,29.66,1.932,1.05,0.46,0.041,23.64,32.12,1.987,1.052,0.473,0.039,23.81,34.06,2.028,1.049,0.427,0.029,23.74,27.9,1.905,1.036,0.441,0.041,23.79,29.55,1.937,1.049,0.46,0.042,23.68,32.1,1.988,1.052,0.327,0.021,23.6,18.57,1.702,1.026,0.511,0.378,23.37,40.14,2.113,1.477,0.519,0.306,23.26,41.52,2.151,1.393,0.497,0.227,23.14,37.84,2.095,1.288,0.5,0.225,23.32,38.19,2.096,1.287,0.15,0.063,23.22,8.13,1.415,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.012,0.03,0.001,0,0,0,0.015,0.025,0.001,0,0.001,0,0.016,0.097,0.002,0,0,0,0.011,0.023,0,0,0,0,0.012,0.031,0.001,0,0,0,0.007,0.027,0.001,0,0,0,0.011,0.032,0.001,0,0,0,0.016,0.028,0.001,0,0,0,0.007,0.023,0.001,0,0,0.001,0.011,0.001,0,0.001,0,0.001,0.008,0.002,0,0.002,0,0.001,0.014,0.033,0.001,0.001,0,0,0.005,0.001,0,0.001,0,0,0.012,0.016,0.001,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.68,"2016-08-01 20:25:00",24.87,"2016-08-01 20:05:00"
"2016-08-01 22:00:00",5,0.316,0.029,23.93,17.77,1.689,1.036,0.451,0.042,23.91,30.87,1.963,1.053,0.439,0.039,23.62,29.39,1.927,1.05,0.46,0.041,23.64,32.07,1.986,1.052,0.473,0.039,23.83,33.96,2.026,1.048,0.426,0.028,23.74,27.84,1.904,1.036,0.44,0.041,23.77,29.47,1.936,1.049,0.46,0.042,23.69,32.06,1.987,1.052,0.327,0.021,23.6,18.53,1.701,1.026,0.511,0.378,23.38,40.14,2.113,1.478,0.519,0.306,23.27,41.52,2.151,1.394,0.498,0.227,23.14,37.87,2.096,1.288,0.5,0.225,23.32,38.19,2.096,1.287,0.151,0.064,23.21,8.14,1.415,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.013,0.022,0.001,0,0,0,0.014,0.024,0,0,0,0,0.016,0.061,0.001,0,0,0,0.009,0,0,0,0,0,0.014,0.034,0.001,0,0,0,0.009,0.028,0.001,0,0,0,0.016,0.028,0.001,0,0,0,0.011,0,0,0,0,0,0.015,0.022,0.001,0,0,0.002,0.021,0.001,0,0.002,0,0.001,0.017,0.002,0,0.001,0,0.001,0.012,0.001,0,0.001,0,0.001,0.011,0.001,0,0.001,0,0,0.01,0.002,0,0.001,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.67,"2016-08-01 21:35:00",24.69,"2016-08-01 21:05:00"
"2016-08-01 23:00:00",6,0.316,0.028,23.94,17.71,1.688,1.036,0.45,0.042,23.91,30.82,1.962,1.053,0.438,0.039,23.62,29.23,1.923,1.049,0.459,0.041,23.64,32.03,1.985,1.052,0.472,0.039,23.84,33.88,2.025,1.049,0.426,0.028,23.74,27.8,1.903,1.036,0.439,0.041,23.78,29.39,1.934,1.049,0.459,0.042,23.69,32.03,1.986,1.052,0.326,0.02,23.6,18.49,1.7,1.026,0.511,0.378,23.39,40.14,2.113,1.478,0.519,0.306,23.27,41.52,2.151,1.394,0.498,0.228,23.15,37.9,2.096,1.289,0.5,0.225,23.33,38.19,2.096,1.287,0.151,0.064,23.22,8.17,1.416,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.011,0.023,0.001,0,0,0,0.011,0,0,0,0,0,0.013,0.042,0.001,0,0,0,0.01,0.028,0.001,0,0,0,0.01,0.029,0.001,0,0,0,0.009,0.016,0,0,0,0,0.018,0.029,0.001,0,0,0,0.017,0.03,0.001,0,0,0,0.016,0.022,0.001,0,0,0.002,0.015,0.001,0,0.002,0,0,0.008,0.001,0,0.001,0,0.001,0.013,0.033,0.001,0.001,0,0,0.014,0,0,0,0,0,0.011,0.002,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.67,"2016-08-01 22:45:00",24.3,"2016-08-01 22:05:00"
"2016-08-02 00:00:00",7,0.315,0.029,23.93,17.64,1.686,1.036,0.45,0.042,23.91,30.76,1.961,1.053,0.437,0.039,23.62,29.11,1.921,1.049,0.459,0.041,23.64,32.01,1.985,1.052,0.472,0.039,23.84,33.81,2.024,1.049,0.426,0.028,23.74,27.75,1.902,1.036,0.439,0.041,23.78,29.32,1.933,1.049,0.459,0.042,23.68,32,1.986,1.052,0.325,0.02,23.6,18.45,1.699,1.026,0.511,0.378,23.39,40.14,2.113,1.478,0.519,0.306,23.26,41.52,2.151,1.394,0.498,0.228,23.14,37.89,2.096,1.289,0.5,0.225,23.33,38.19,2.096,1.287,0.152,0.064,23.22,8.2,1.417,1.08,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,0,0,0.009,0.025,0.001,0,0,0,0.007,0.016,0,0,0,0,0.015,0.035,0.001,0,0,0,0.022,0,0,0,0,0,0.012,0.031,0.001,0,0,0,0.009,0,0,0,0,0,0.014,0.025,0,0,0,0,0.01,0,0,0,0,0,0.01,0.018,0,0,0,0.001,0.011,0.001,0,0.002,0,0,0.011,0.001,0,0,0,0.001,0.016,0.031,0.001,0.001,0,0,0.013,0,0,0,0,0,0.017,0.013,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.67,"2016-08-01 23:10:00",24.19,"2016-08-01 23:05:00"
