TOA5,CR1000,CR1000,53632,CR1000.Std.25,CPU:16 CS655 06'2015.CR1,2119,EIsoilT2June2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,VWC_Avg,T_Avg,VWC_2_Avg,T_2_Avg,VWC_3_Avg,T_3_Avg,VWC_4_Avg,T_4_Avg,VWC_5_Avg,T_5_Avg,VWC_6_Avg,T_6_Avg,VWC_7_Avg,T_7_Avg,VWC_8_Avg,T_8_Avg,VWC_9_Avg,T_9_Avg,VWC_10_Avg,T_10_Avg,VWC_11_Avg,T_11_Avg,VWC_12_Avg,T_12_Avg,VWC_13_Avg,T_13_Avg,VWC_14_Avg,T_14_Avg,VWC_15_Avg,T_15_Avg,VWC_16_Avg,T_16_Avg,VWC,T,VWC_2,T_2,VWC_3,T_3,VWC_4,T_4,VWC_5,T_5,VWC_6,T_6,VWC_7,T_7,VWC_8,T_8,VWC_9,T_9,VWC_10,T_10,VWC_11,T_11,VWC_12,T_12,VWC_13,T_13,VWC_14,T_14,VWC_15,T_15,VWC_16,T_16
TS,RN,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C,m^3/m^3,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
10/23/15 0:00,2580,0.339,23.55,7999,23.5,0.356,23.44,0.314,23.5,0.255,23.69,0.36,23.58,0.23,23.47,0.255,23.51,0.516,23.32,0.254,23.51,0.357,23.57,0.415,23.47,0.29,23.47,0.206,23.65,0.394,23.53,0.421,23.66,0.339,23.47,7999,23.38,0.356,23.25,0.314,23.38,0.254,23.59,0.36,23.42,0.23,23.32,0.255,23.39,0.516,23.19,0.254,23.34,0.357,23.49,0.415,23.33,0.29,23.38,0.206,23.52,0.394,23.42,0.422,23.59
10/23/15 1:00,2581,0.339,23.36,7999,23.24,0.356,23.09,0.314,23.19,0.254,23.46,0.359,23.3,0.23,23.19,0.255,23.23,0.515,23.01,0.254,23.14,0.357,23.35,0.415,23.19,0.29,23.24,0.206,23.38,0.394,23.25,0.421,23.5,0.339,23.24,0.521,23.09,0.356,22.93,0.314,23.04,0.254,23.36,0.359,23.17,0.23,23.04,0.255,23.09,0.515,22.84,0.254,22.96,0.357,23.26,0.415,23.04,0.29,23.14,0.206,23.25,0.394,23.12,0.422,23.4
10/23/15 2:00,2582,0.339,23.19,0.521,23.09,0.356,22.92,0.314,23.01,0.254,23.3,0.359,23.14,0.23,22.99,0.255,23.02,0.515,22.84,0.255,22.96,0.357,23.21,0.415,23.02,0.29,23.09,0.205,23.17,0.393,23.09,0.421,23.35,0.339,23.19,0.521,23.1,0.356,22.97,0.314,23.04,0.254,23.3,0.359,23.18,0.23,23.01,0.255,23.03,0.515,22.86,0.255,23.04,0.357,23.23,0.415,23.07,0.29,23.11,0.205,23.17,0.393,23.11,0.422,23.34
10/23/15 3:00,2583,0.339,23.2,7999,23.15,0.356,22.99,0.314,23.08,0.254,23.33,0.358,23.2,0.23,23.03,0.255,23.08,0.515,22.91,0.255,23.05,0.357,23.23,0.415,23.09,0.29,23.13,0.205,23.2,0.393,23.15,0.421,23.36,0.339,23.19,7999,23.15,0.356,22.98,0.314,23.06,0.253,23.32,0.351,23.2,0.229,23,0.255,23.07,0.515,22.9,0.254,23.06,0.357,23.2,0.414,23.1,0.29,23.11,0.205,23.19,0.393,23.17,0.421,23.37
10/23/15 4:00,2584,0.339,23.15,7999,23.1,0.355,22.94,0.314,23.04,0.253,23.29,0.35,23.13,0.229,22.99,0.255,23.02,0.515,22.86,0.254,23,0.357,23.17,0.414,23.03,0.29,23.06,0.205,23.16,0.393,23.1,0.421,23.32,0.339,23.14,0.521,23.08,0.355,22.96,0.313,23.02,0.253,23.26,0.35,23.09,0.229,22.99,0.255,23.02,0.515,22.85,0.254,23.02,0.357,23.18,0.414,23.01,0.29,23.07,0.205,23.17,0.393,23.06,0.421,23.31
10/23/15 5:00,2585,0.339,23.12,0.521,23.07,0.355,22.93,0.313,23,0.253,23.26,0.35,23.11,0.229,22.97,0.255,23.01,0.515,22.84,0.254,22.95,0.357,23.16,0.414,23,0.29,23.07,0.205,23.12,0.393,23.09,0.421,23.3,0.339,23.11,0.521,23.02,0.355,22.88,0.313,22.93,0.253,23.23,0.35,23.07,0.229,22.93,0.255,22.96,0.515,22.79,0.254,22.92,0.357,23.12,0.414,22.95,0.29,23.03,0.205,23.07,0.393,23.06,0.421,23.27
10/23/15 6:00,2586,0.339,23.09,0.521,23.04,0.355,22.89,0.313,22.95,0.253,23.23,0.349,23.06,0.229,22.92,0.255,22.96,0.515,22.83,0.254,22.93,0.357,23.12,0.415,22.97,0.29,23.02,0.205,23.06,0.393,23.02,0.421,23.25,0.339,23.09,0.521,23.06,0.355,22.9,0.313,23.01,0.253,23.2,0.35,23.1,0.229,22.9,0.255,22.98,0.515,22.88,0.254,22.96,0.357,23.11,0.415,22.98,0.29,23.05,0.205,23.06,0.393,23.03,0.421,23.24
10/23/15 7:00,2587,0.339,23.08,0.521,23.03,0.355,22.89,0.313,23.01,0.253,23.22,0.349,23.08,0.229,22.86,0.255,22.95,0.515,22.85,0.254,22.95,0.357,23.1,0.414,22.96,0.29,23.01,0.205,23.06,0.393,23.04,0.421,23.25,0.339,23.08,0.521,23.04,0.355,22.91,0.313,23.01,0.253,23.24,0.349,23.11,0.229,22.84,0.255,22.94,0.515,22.85,0.254,22.97,0.357,23.07,0.414,22.96,0.29,23,0.205,23.06,0.393,23.04,0.421,23.23
