Sample#,Location,Replicate,Depth,Sampling Period,SamplingMonth,Tin Weight (g),Tin + wet soil (g),Tin + dry soil wt (g),Soil for Fe in 0.5 M HCl (g),Soil for P in 0.5 M NaHCO3 (g),Soil for pH (g),Time H2O added,Time pH read,pH,NaOH wt reagent,NaHCO3 wt reagent,HCl wt reagent,2M KCl wt reagent N concentrations day 0,2M KCl wt reagent N transformations day 7,Soil wt in 2M KCl cup (g) for N concetrations day 0,Soil for N transformations wt day 0,Soil for N transformations wt day 7,Fe(II) concentration (mg-Fe/g),Fe(II+III) concentration (mg-Fe/g),FeIII_mg_Fe_per_dry_weight_soil_g,Bicarb-Pi,Bicarb-Pt,Bicarb-Po,NaOH-Pi,NaOH-Pt,NaOH-Po,Total P
1,Ridge,1,0-15,PostDrought,15-Nov,1,11.98,7.06,5.93,1.49,3.94,2:18,2:29,4.91,45.03,not recorded,30.07,81.22,81.24,29.64,30.27,27.84,0.018394848,0.233675611,0.215280763,NA,NA,NA,NA,NA,NA,NA
2,Ridge,1,15-30,PostDrought,15-Nov,1,11.19,7.42,5.61,1.49,4.03,2:24,2:34,4.84,44.92,not recorded,30.1,81.22,81.21,29.86,29.74,27.89,0.00959395,0.10751705,0.0979231,NA,NA,NA,NA,NA,NA,NA
3,Ridge,1,30-45,PostDrought,15-Nov,0.99,11.32,7.6,6.23,1.43,3.93,2:27,2:37,4.72,45.13,not recorded,30.04,81.18,81.23,29.72,29.91,29.01,0.018619666,0.065425217,0.046805551,NA,NA,NA,NA,NA,NA,NA
4,Ridge,1,45-60,PostDrought,15-Nov,0.99,11.7,7.92,5.54,1.46,3.92,2:41,2:55,4.66,44.84,not recorded,30.02,81.25,81.25,30.51,29.92,28.19,0.006769976,0.038527854,0.031757879,NA,NA,NA,NA,NA,NA,NA
5,Ridge,1,60-75,PostDrought,15-Nov,0.98,11.11,7.56,5.87,1.46,3.93,3:17,3:28,4.73,44.72,not recorded,30.09,81.26,81.21,30.09,30.2,28.78,0.008893375,0.027487104,0.018593729,NA,NA,NA,NA,NA,NA,NA
6,Ridge,1,75-90,PostDrought,15-Nov,0.99,11.33,7.7,5.33,1.52,3.98,4:22,4:32,4.69,44.98,not recorded,30,81.24,81.21,30.14,29.82,27.36,0.006509555,0.044237773,0.037728218,NA,NA,NA,NA,NA,NA,NA
7,Ridge,1,90-105,PostDrought,15-Nov,1,11.11,7.58,5.88,1.56,3.9,4:24,4:34,4.62,45.39,not recorded,30.03,81.23,81.24,29.82,29.81,28.74,0.00634145,0.036318144,0.029976695,NA,NA,NA,NA,NA,NA,NA
8,Slope,1,0-15,PostDrought,15-Nov,0.97,11.64,6.86,5.14,1.44,3.99,10:20,10:30,4.74,45.25,not recorded,29.99,81.24,81.22,29.96,30.27,26.66,0.02060033,0.219498623,0.198898293,NA,NA,NA,NA,NA,NA,NA
9,Slope,1,15-30,PostDrought,15-Nov,1,11,7.02,5.71,1.48,3.9,10:22,10:32,4.86,45.02,not recorded,30,81.21,81.23,30.12,30.04,29.25,0.011139694,0.116671928,0.105532234,NA,NA,NA,NA,NA,NA,NA
10,Slope,1,30-45,PostDrought,15-Nov,1,11.81,7.86,5.09,1.53,3.93,10:23,10:33,4.97,44.8,not recorded,30.07,81.25,81.22,29.71,29.98,27.88,0.022437041,0.161876945,0.139439903,NA,NA,NA,NA,NA,NA,NA
