"DateTime","ChamberNumber","MeasurementDuration_s","MeanCO2_ppm","MeanCH4_ppm","MeanN2O_ppm","MeanNH3_ppm","MeanH2O_percent","ChemDetect_0to1","CavPressure_kPa","CavTemperature_K","WaterContent_fraction","ChamberTemperature_K","ChamberPressure_kPa","FluxCO2L_umol_per_m2_per_s","FluxCO2E_umol_per_m2_per_s","FluxCH4L_nmol_per_m2_per_s","FluxCH4E_nmol_per_m2_per_s","FluxN2OL_nmol_per_m2_per_s","FluxN2OE_nmol_per_m2_per_s","FluxNH3L_umol_per_m2_per_s","FluxNH3E_umol_per_m2_per_s","e_FluxCO2L_umol_per_m2_per_s","e_FluxCO2E_umol_per_m2_per_s","e_FluxCH4L_nmol_per_m2_per_s","e_FluxCH4E_nmol_per_m2_per_s","e_FluxN2OL_nmol_per_m2_per_s","e_FluxN2OE_nmol_per_m2_per_s","e_FluxNH3L_umol_per_m2_per_s","e_FluxNH3E_umol_per_m2_per_s","DateTime2","Drought","TopoLocation"
"2015-05-21 10:58:00",1,595,485.23415667,1.92497871,0.28723601,63.85758424,2.93227265,0,18.66519225,318.15793083,0.02580687,293.63398747,98.41,1.11266704,12.58634592,0.4950337,0.49378552,-1.9858897,-21.18198194,-0.60383181,-0.88476913,0.04045072,0.42133584,0.1522385,700.52843596,0.0687575,263.3813038,0.00247685,0.13618317,2015-05-21 10:58:00,"Post-drought","Ridge"
"2015-05-21 11:08:56",2,588,697.26881332,2.04636963,0.23893684,48.22743066,2.9835646,1,18.66526435,318.16669758,0.02635445,293.35571263,97.67,8.53725895,22.12310301,7.56911448,39.66805746,-3.59939803,-7.08100794,-0.67760126,-1.11060251,0.12212184,0.17449293,0.38777741,434.76415043,0.09078052,827.14070007,0.00431692,0.14372066,2015-05-21 11:08:56,"Post-drought","Slope"
"2015-05-21 11:19:44",3,589,512.49227501,2.16693065,0.2380009,44.52417642,3.00707042,1,18.66524215,318.1591167,0.02624476,293.45725223,97.45,3.84030893,8.49694129,10.93341356,72.63603615,-3.56014441,-9.75626766,-0.53950118,-0.90075374,0.05561274,0.36280926,0.51042696,352.14237546,0.09371393,511.74414244,0.00353552,0.13421657,2015-05-21 11:19:44,"Post-drought","Valley"
"2015-05-21 11:30:35",4,588,500.38557897,2.16356032,0.22852933,86.87883681,3.06010429,1,18.66517436,318.15646907,0.02662401,294.79027974,98.86,2.90853108,14.30713037,8.5771608,98.90193064,-3.68683734,-14.88787264,0.30146399,5.17103378,0.07613465,0.18057651,0.6517584,379.89824542,0.12927746,389.27370882,0.02235483,0.22929534,2015-05-21 11:30:35,"Post-drought","Ridge"
"2015-05-21 11:41:26",5,588,621.8212344,2.07559884,0.23302721,57.40962679,3.00304098,1,18.66522027,318.15632304,0.02639596,294.13236504,98.79,7.10430557,13.29532044,9.30401649,62.47342657,-4.21458359,-9.71845694,-0.86102125,-1.61376052,0.06686056,0.26611918,0.32484815,305.09672625,0.06483798,298.42034612,0.00406284,0.02587474,2015-05-21 11:41:26,"Post-drought","Slope"
"2015-05-21 11:52:06",6,595,511.34012566,2.24507604,0.23458169,50.75175261,3.07774619,1,18.66530132,318.15448146,0.02681371,293.43190491,98.31,2.42533477,16.73568069,6.10766531,151.52590748,-2.36605041,-19.35326817,-0.64903704,-1.11250469,0.05027801,0.26265382,0.42626401,422.27167299,0.0701223,310.73037745,0.00185615,0.0961618,2015-05-21 11:52:06,"Post-drought","Valley"
"2015-05-21 12:03:03",7,588,542.27070979,2.21237253,0.21790209,29.90014014,3.0570283,1,18.66521585,318.15334929,0.0261339,294.30454826,98.61,3.30583388,18.16716421,-0.07564003,-0.07552245,-2.05043441,-23.97757011,-0.27340855,-1.42149887,0.05556808,0.25769343,0.53376552,602.10764769,0.0880694,283.3192031,0.00394093,0.07839587,2015-05-21 12:03:03,"Post-drought","Ridge"
"2015-05-21 12:13:54",8,588,563.64709182,2.15687402,0.2309194,26.60271212,3.05836618,1,18.66513863,318.15277684,0.02674492,294.05821947,98.58,4.99393109,10.03669326,10.32108404,69.56239718,-3.67990458,-9.98778488,-0.31450942,-0.63960792,0.03517789,0.18802767,0.33848122,320.79549107,0.06637708,404.11897968,0.00203543,0.12119861,2015-05-21 12:13:54,"Post-drought","Slope"
"2015-05-21 12:24:43",9,588,508.89859426,2.25578775,0.22755594,30.76484679,3.06461905,1,18.66521986,318.15213361,0.02613921,294.20629837,100.31,1.49169089,28.39763884,1.21936455,1.21810697,-1.83849651,-25.5221154,-0.42299376,-0.74253907,0.07636172,0.31991826,0.44901544,598.94761199,0.06411838,322.10975777,0.00138227,0.2663154,2015-05-21 12:24:43,"Post-drought","Valley"
"2015-05-21 13:26:24",2,590,679.1389615,1.85368706,0.29114407,46.06940354,2.93215409,0,18.66513632,318.15130515,0.02626071,294.91030365,97.64,6.81360624,17.10954437,-0.65927567,-0.65887801,-0.24722764,-5.16482384,-0.62141304,-1.10945061,0.04166716,0.07431416,0.01582506,2357.92426262,0.01440849,308.28149403,0.00224664,0.05948652,2015-05-21 13:26:24,"Post-drought","Slope"
"2015-05-21 13:39:46",3,589,477.62109648,1.91377026,0.29996944,35.5210694,2.99157222,0,18.6651941,318.16088833,0.02689088,294.49993543,97.36,1.60995699,3.76126846,0.99159583,18.00083928,-0.27320065,-1.68461947,-0.32295553,-0.47266352,0.00911125,0.13848298,0.02829439,125.60543718,0.01142021,1213.74275543,0.00089651,0.30095254,2015-05-21 13:39:46,"Post-drought","Valley"
"2015-05-21 13:53:06",4,588,476.08904697,1.90584953,0.29802038,118.56667942,2.99317094,0,18.66523189,318.15774014,0.02676666,294.83835594,99.22,1.47059469,1.94902524,0.39525679,0.40248692,-0.03056092,-3.49298107,0.721651,4.69856648,0.00457063,1.00155568,0.00828653,524.94881314,0.01589846,1732.99538795,0.01299922,0.02523542,2015-05-21 13:53:06,"Post-drought","Ridge"
"2015-05-21 14:06:27",5,587,647.81023736,1.81456886,0.29754469,49.09944439,2.95920423,0,18.66526961,318.15307248,0.0267035,294.66969796,99.25,6.20167533,9.14097369,-1.44595577,-1.4456258,-0.37313062,-3.31251605,-0.60731033,-0.98934844,0.03700951,0.25736295,0.01941596,547.22727681,0.02059138,667.73369825,0.00275632,0.03774133,2015-05-21 14:06:27,"Post-drought","Slope"
"2015-05-21 14:19:47",7,588,495.83078233,1.89182694,0.28734941,39.07641345,2.93633457,0,18.66523299,318.15336695,0.02536689,294.66969796,98.89,2.72840623,4.10534498,-1.71805668,-1.73469383,-0.1829988,-6.55720009,0.00273683,0.00273004,0.01021912,0.07725119,0.01442242,651.67903855,0.01808851,1083.73533195,0.00424568,1.14526321,2015-05-21 14:19:47,"Post-drought","Ridge"
"2015-05-21 14:33:06",8,588,540.79941519,1.89064141,0.29087867,25.65877728,3.01108423,0,18.66514533,318.15516239,0.02660643,294.74211429,98.82,3.25530898,7.43806846,0.01369607,0.01366009,-0.20703537,-2.20245376,-0.0306614,-0.61727664,0.02832344,0.06154828,0.03446664,1167.96136349,0.00964268,1011.59223236,0.00081545,0.3012865,2015-05-21 14:33:06,"Post-drought","Slope"
"2015-05-21 14:46:29",9,586,453.80560779,1.9222924,0.29765687,22.79782469,2.94648284,0,18.66518902,318.15471379,0.02618977,294.52425545,100.06,1.45357889,3.19478673,0.83809441,11.19702091,-0.30042392,-3.16347207,-0.22856126,-0.43181907,0.00344377,0.08336758,0.00793539,121.7358409,0.00585413,709.80621904,0.00047469,0.27140362,2015-05-21 14:46:29,"Post-drought","Valley"
"2015-05-21 14:59:30",2,588,697.84282832,1.82558442,0.30241154,16.08221335,2.94708937,0,18.66520402,318.16396609,0.02656182,294.79027974,97.22,8.7793961,16.38775368,-1.03669102,-1.04545994,-0.20012475,-2.19167718,-0.10744884,-0.10887993,0.02838521,0.39954781,0.00256968,1577.69854225,0.00805025,1070.16981126,0.00032759,2.30599499,2015-05-21 14:59:30,"Post-drought","Slope"
"2015-05-21 15:12:50",3,588,462.90682594,1.86902725,0.31036561,18.12080039,2.93213321,0,18.66518268,318.16513821,0.02607495,294.30454826,97.29,1.54392722,3.47478543,0.44166688,4.61441753,0.05246621,2.11092138,-0.13076946,-0.16793102,0.00540989,0.12099991,0.00663005,190.11237091,0.01350457,1369.99650431,0.00051478,0.92758268,2015-05-21 15:12:50,"Post-drought","Valley"
"2015-05-21 15:26:10",4,588,476.91537157,1.88297223,0.30544733,163.17946591,2.88789862,0,18.66514735,318.15019136,0.02567981,294.42683802,99.17,1.44340302,2.0730844,0.92321242,1.21916166,0.06697867,0.06691807,-0.45145866,-0.45123108,0.00604796,0.59680574,0.00714197,1608.47187358,0.01260073,1760.39207713,0.01873785,4.92886393,2015-05-21 15:26:10,"Post-drought","Ridge"
"2015-05-21 15:39:31",5,588,616.29356842,1.80027682,0.30536011,46.07119161,2.91411923,0,18.6651044,318.14870924,0.02606278,294.30454826,99.22,5.71930238,10.56241366,-1.42691871,-2.25149309,0.00777141,0.00775724,-0.61414967,-1.03922961,0.03192068,0.37665097,0.00563101,311.13688973,0.01367768,9999000,0.00239154,0.08234503,2015-05-21 15:39:31,"Post-drought","Slope"
"2015-05-21 15:52:50",7,589,501.17239267,1.85325335,0.29726341,29.1832063,2.8497556,0,18.66512755,318.1484016,0.024801,294.157033,98.77,2.75804838,3.49921387,-1.28232855,-1.41098578,-0.06644448,-0.35421782,-0.03145875,-0.03142716,0.0054987,0.33665903,0.00424908,3203.07831572,0.01660225,37271.27772995,0.00143371,0.96398066,2015-05-21 15:52:50,"Post-drought","Ridge"
