injnum,run,pos,trt,rep,volairjar,etime,ch4pk,co2pk,n2opk,<-height,ch4area,co2area,n2oarea,,,,,,,,,,,,,,
1,1,1,100,,,,6.688,1.047,18.688,,20.4755,4.0147,77.987,,,,,,,,,,,,,,
2,1,2,100,,,,6.72,0.989,18.556,,20.378,3.7895,77.5635,,,,,,,,,,,,,,
3,1,3,100,,,,6.628,1.033,17.323,,20.07,3.8838,72.339,,,,,,,,,,,,,,
4,1,4,100,,,,6.657,1.044,17.832,,20.1725,4.0888,74.538,,,,,,,,,,,,,,
5,1,5,100,,,,6.662,0.975,18.292,,20.318,3.7658,76.436,,,,,,,,,,,,,,
6,1,6,100,,,,6.632,1.026,18.536,,20.08,3.9205,77.5765,55,1,55,1,1,500,3.033333333,1.529,6.484,1.38,,4.627,24.7735,5.5975
7,1,7,100,,,,6.725,1.045,18.9,,20.443,4.0983,79.085,,,,,,,,,,,,,,
8,1,8,100,,,,6.729,1.049,18.54,,20.353,4.1155,77.637,,,,,,,,,,,,,,
9,1,9,100,,,,6.747,1.056,18.673,,20.493,4.138,78.2415,,,,,,,,,,,,,,
10,1,10,1,5,500,0,1.428,0.562,0.669,,4.365,2.223,2.544,,,,,,,,,,,,,,
11,1,11,1,6,500,0,1.416,0.693,0.718,,4.3995,2.8272,2.793,,,,,,,,,,,,,,
12,1,12,2,1,500,0,1.476,0.949,0.687,,4.501,3.7045,2.723,,,,,,,,,,,,,,
13,1,13,2,2,500,0,1.433,0.786,0.683,,4.388,3.2007,2.5875,,,,,,,,,,,,,,
14,1,14,2,3,500,0,1.435,0.663,0.649,,4.433,2.6675,2.431,,,,,,,,,,,,,,
15,1,15,2,4,500,0,1.402,0.654,0.665,,4.342,2.5555,2.595,,,,,,,,,,,,,,
16,1,16,100,,,,6.713,1.048,18.938,,20.3965,4.0095,79.631,,,,,,,,,,,,,,
17,1,17,2,5,500,0,1.426,0.633,0.654,,4.409,2.4093,2.59,,,,,,,,,,,,,,
18,1,18,2,6,500,0,1.398,0.604,0.669,,4.295,2.226,2.4745,,,,,,,,,,,,,,
19,1,19,3,1,500,0,1.435,1.091,0.703,,4.425,4.3135,2.69,,,,,,,,,,,,,,
20,1,20,3,2,500,0,1.397,0.669,0.677,,4.3085,2.9392,2.533,,,,,,,,,,,,,,
21,1,21,3,3,500,0,1.42,0.601,0.656,,4.322,2.8165,2.521,,,,,,,,,,,,,,
22,1,22,3,4,500,0,1.401,0.594,0.684,,4.325,2.494,2.7215,,,,,,,,,,,,,,
23,1,23,3,5,500,0,1.376,0.558,0.657,,4.228,2.466,2.632,,,,,,,,,,,,,,
24,1,24,3,6,500,0,1.395,0.539,0.668,,4.269,2.182,2.5995,,,,,,,,,,,,,,
25,1,25,4,1,500,0,1.414,0.544,0.644,,4.315,2.01,2.54,,,,,,,,,,,,,,
