SampleID	Date	Time	Gas	PeakTime	PeakArea	PeakHeight
ogECD170405a01.CHR	4/5/17	9:49:33	Nitrous Oxide	1.616	30.057	5.729
ogECD170405a02.CHR	4/5/17	9:55:10	Nitrous Oxide	1.608	33.88	6.429
ogECD170405a03.CHR	4/5/17	10:07:05	Nitrous Oxide	1.608	40.775	7.78
ogECD170405a04.CHR	4/5/17	10:38:22	Nitrous Oxide	1.608	48.3785	9.192
ogECD170405a05.CHR	4/5/17	10:42:48	Nitrous Oxide	1.658	57.5575	10.506
ogECD170405a06.CHR	4/5/17	11:07:15	Nitrous Oxide	1.566	52.7885	10.22
ogECD170405a07.CHR	4/5/17	11:12:03	Nitrous Oxide	1.575	55.2045	10.683
ogECD170405a08.CHR	4/5/17	11:23:40	Nitrous Oxide	1.566	56.677	11.112
ogECD170405a09.CHR	4/5/17	11:28:35	Nitrous Oxide	1.55	57.498	11.173
ogECD170405a10.CHR	4/5/17	11:32:00	Nitrous Oxide	1.55	59.389	11.592
ogECD170405a11.CHR	4/5/17	11:38:04	Nitrous Oxide	1.558	60.1905	11.649
ogECD170405a12.CHR	4/5/17	11:42:13	Nitrous Oxide	1.558	61.204	11.847
ogECD170405a13.CHR	4/5/17	11:48:19	Nitrous Oxide	1.558	61.1925	11.823
ogECD170405a14.CHR	4/5/17	11:54:17	Nitrous Oxide	1.566	61.745	11.879
ogECD170405a15.CHR	4/5/17	12:08:10	Nitrous Oxide	1.558	58.8905	11.372
ogECD170405a16.CHR	4/5/17	12:12:10	Nitrous Oxide	1.566	65.647	12.801
ogECD170405a17.CHR	4/5/17	12:15:52	Nitrous Oxide	1.566	61.624	12.103
ogECD170405a18.CHR	4/5/17	12:19:59	Nitrous Oxide	1.566	68.0015	13.406
ogECD170405a19.CHR	4/5/17	12:24:24	Nitrous Oxide	1.566	76.981	15.027
ogECD170405a20.CHR	4/5/17	12:28:01	Nitrous Oxide	1.566	87.261	17.059
ogECD170405a21.CHR	4/5/17	12:31:56	Nitrous Oxide	1.558	61.895	12.212
ogECD170405a22.CHR	4/5/17	12:35:47	Nitrous Oxide	1.566	71.883	14.256
ogECD170405a23.CHR	4/5/17	12:39:28	Nitrous Oxide	1.566	80.494	15.771
ogECD170405a24.CHR	4/5/17	12:43:11	Nitrous Oxide	1.566	93.635	18.573
ogECD170405a25.CHR	4/5/17	12:46:28	Nitrous Oxide	1.566	50.1195	9.836
ogECD170405a26.CHR	4/5/17	12:49:57	Nitrous Oxide	1.566	117.672	23.07
ogECD170405a27.CHR	4/5/17	12:53:37	Nitrous Oxide	1.566	137.259	26.895
ogECD170405a28.CHR	4/5/17	13:22:01	Nitrous Oxide	1.566	105.28	20.63
ogECD170405a29.CHR	4/5/17	13:25:35	Nitrous Oxide	1.566	115.241	22.562
ogECD170405a30.CHR	4/5/17	13:30:03	Nitrous Oxide	1.566	79.072	15.533
ogECD170405a31.CHR	4/5/17	13:33:21	Nitrous Oxide	1.566	135.325	26.657
ogECD170405a32.CHR	4/5/17	13:37:06	Nitrous Oxide	1.566	143.063	28.02
ogECD170405a33.CHR	4/5/17	13:40:08	Nitrous Oxide	1.566	151.559	29.867
ogECD170405a34.CHR	4/5/17	14:49:07	Nitrous Oxide	1.575	109.998	21.292
ogECD170405a35.CHR	4/5/17	14:52:30	Nitrous Oxide	1.575	126.121	24.438
ogECD170405a36.CHR	4/5/17	14:55:57	Nitrous Oxide	1.575	49.641	9.648
ogECD170405a37.CHR	4/5/17	14:59:34	Nitrous Oxide	1.575	120.4465	23.436
ogECD170405a38.CHR	4/5/17	15:03:09	Nitrous Oxide	1.575	91.563	17.951
ogECD170405a39.CHR	4/5/17	15:06:11	Nitrous Oxide	1.566	118.857	23.282
ogECD170405a40.CHR	4/5/17	15:10:56	Nitrous Oxide	1.575	120.125	23.571
ogECD170405a41.CHR	4/5/17	15:14:13	Nitrous Oxide	1.583	137.4545	26.848
ogECD170405a42.CHR	4/5/17	15:17:43	Nitrous Oxide	1.575	150.786	29.449
ogECD170405a43.CHR	4/5/17	15:20:34	Nitrous Oxide	1.575	114.792	22.356
ogECD170405a44.CHR	4/5/17	15:23:42	Nitrous Oxide	1.575	305.1075	59.029
ogECD170405a45.CHR	4/5/17	15:26:45	Nitrous Oxide	1.575	358.349	69.036
ogECD170405a46.CHR	4/5/17	15:30:39	Nitrous Oxide	1.575	394.751	75.691
ogECD170405a47.CHR	4/5/17	15:33:21	Nitrous Oxide	1.575	52.8035	10.297
ogECD170405a48.CHR	4/5/17	15:36:20	Nitrous Oxide	1.575	46.966	9.198
ogECD170405a49.CHR	4/5/17	15:39:14	Nitrous Oxide	1.575	55.534	10.97
ogECD170405a50.CHR	4/5/17	15:42:13	Nitrous Oxide	1.575	57.78	11.405
ogECD170405a51.CHR	4/5/17	15:55:16	Nitrous Oxide	1.583	54.62	10.544
ogECD170405a52.CHR	4/6/17	7:14:36	Nitrous Oxide	1.583	54.109	10.335
ogECD170405a53.CHR	4/6/17	7:19:16	Nitrous Oxide	1.583	56.1585	10.729
ogECD170405a54.CHR	4/6/17	7:23:24	Nitrous Oxide	1.583	55.555	10.64
ogECD170405a55.CHR	4/6/17	7:27:43	Nitrous Oxide	1.591	56.9595	10.881
ogECD170405a56.CHR	4/6/17	7:32:31	Nitrous Oxide	1.591	57.439	10.959
ogECD170405a57.CHR	4/6/17	7:36:42	Nitrous Oxide	1.583	57.803	11.062
ogECD170405a58.CHR	4/6/17	7:41:38	Nitrous Oxide	1.583	61.616	11.752
ogECD170405a59.CHR	4/6/17	7:45:32	Nitrous Oxide	1.583	94.345	18.23
ogECD170405a60.CHR	4/6/17	7:49:00	Nitrous Oxide	1.583	130.5175	25.34
ogECD170405a61.CHR	4/6/17	7:52:41	Nitrous Oxide	1.583	59.996	11.635
ogECD170405a62.CHR	4/6/17	7:55:56	Nitrous Oxide	1.591	70.2875	13.654
ogECD170405a63.CHR	4/6/17	7:59:04	Nitrous Oxide	1.583	61.702	12.051
ogECD170405a64.CHR	4/6/17	8:02:44	Nitrous Oxide	1.583	42.4485	8.235
ogECD170405a65.CHR	4/6/17	8:06:26	Nitrous Oxide	1.583	55.721	10.758
ogECD170405a66.CHR	4/6/17	8:10:01	Nitrous Oxide	1.583	64.016	12.417
ogECD170405a67.CHR	4/6/17	8:13:38	Nitrous Oxide	1.583	73.932	14.29
ogECD170405a68.CHR	4/6/17	8:17:13	Nitrous Oxide	1.583	54.634	10.68
ogECD170405a69.CHR	4/6/17	8:25:38	Nitrous Oxide	1.583	68.99	13.418
ogECD170405a70.CHR	4/6/17	8:28:50	Nitrous Oxide	1.583	50.427	9.846
ogECD170405a71.CHR	4/6/17	8:34:13	Nitrous Oxide	1.583	160.52	30.998
ogECD170405a72.CHR	4/6/17	8:37:28	Nitrous Oxide	1.583	146.144	28.25
ogECD170405a73.CHR	4/6/17	8:40:50	Nitrous Oxide	1.583	215.469	41.543
ogECD170405a74.CHR	4/6/17	8:44:25	Nitrous Oxide	1.591	116.308	22.558
ogECD170405a75.CHR	4/6/17	8:50:35	Nitrous Oxide	1.583	136.579	26.452
ogECD170405a76.CHR	4/6/17	8:54:55	Nitrous Oxide	1.583	56.138	10.821
ogECD170405a77.CHR	4/6/17	8:57:58	Nitrous Oxide	1.591	149.6455	28.901
ogECD170405a78.CHR	4/6/17	9:01:15	Nitrous Oxide	1.591	126.922	24.506
ogECD170405a79.CHR	4/6/17	9:04:57	Nitrous Oxide	1.583	141.81	27.511
ogECD170405a80.CHR	4/6/17	9:08:45	Nitrous Oxide	1.583	135.3445	26.125
ogECD170405a81.CHR	4/6/17	9:12:12	Nitrous Oxide	1.583	78.2545	15.174
ogECD170405a82.CHR	4/6/17	9:15:35	Nitrous Oxide	1.583	127.154	24.581
ogECD170405a83.CHR	4/6/17	9:19:16	Nitrous Oxide	1.583	94.3025	18.063
ogECD170405a84.CHR	4/6/17	9:22:56	Nitrous Oxide	1.583	83.698	16.297
ogECD170405a85.CHR	4/6/17	9:26:50	Nitrous Oxide	1.583	90.763	17.663
ogECD170405a86.CHR	4/6/17	9:31:04	Nitrous Oxide	1.583	95.648	18.61
ogECD170405a87.CHR	4/6/17	9:36:15	Nitrous Oxide	1.591	56.04	10.773
