SampleID	Date	Time	Gas	PeakTime	PeakArea	PeakHeight
ogFID170405a01.CHR	4/5/17	9:49:33	Methane	0.65	17.749	6.626
ogFID170405a02.CHR	4/5/17	9:55:10	Methane	0.65	18.142	6.72
ogFID170405a03.CHR	4/5/17	10:07:05	Methane	0.65	18.812	7.012
ogFID170405a04.CHR	4/5/17	10:38:22	Methane	0.658	19.4625	7.251
ogFID170405a05.CHR	4/5/17	10:42:48	Methane	0.658	19.552	7.221
ogFID170405a06.CHR	4/5/17	11:07:15	Methane	0.708	19.3675	7.051
ogFID170405a07.CHR	4/5/17	11:12:03	Methane	0.716	19.494	7.101
ogFID170405a08.CHR	4/5/17	11:23:40	Methane	0.708	19.793	7.197
ogFID170405a09.CHR	4/5/17	11:28:35	Methane	0.716	19.889	7.211
ogFID170405a10.CHR	4/5/17	11:32:00	Methane	0.716	20.24	7.359
ogFID170405a11.CHR	4/5/17	11:38:04	Methane	0.65	20.317	7.453
ogFID170405a12.CHR	4/5/17	11:42:13	Methane	0.65	20.481	7.579
ogFID170405a13.CHR	4/5/17	11:48:19	Methane	0.65	20.309	7.396
ogFID170405a14.CHR	4/5/17	11:54:17	Methane	0.65	20.333	7.586
ogFID170405a15.CHR	4/5/17	12:08:10	Methane	0.65	3.9835	1.479
ogFID170405a16.CHR	4/5/17	12:12:10	Methane	0.65	2.7645	1.038
ogFID170405a17.CHR	4/5/17	12:15:52	Methane	0.65	3.115	1.173
ogFID170405a18.CHR	4/5/17	12:19:59	Methane	0.65	2.755	1.013
ogFID170405a19.CHR	4/5/17	12:24:24	Methane	0.65	2.833	1.07
ogFID170405a20.CHR	4/5/17	12:28:01	Methane	0.65	3.299	1.236
ogFID170405a21.CHR	4/5/17	12:31:56	Methane	0.65	6.0455	2.291
ogFID170405a22.CHR	4/5/17	12:35:47	Methane	0.65	6.1375	2.358
ogFID170405a23.CHR	4/5/17	12:39:28	Methane	0.658	5.9155	2.22
ogFID170405a24.CHR	4/5/17	12:43:11	Methane	0.65	6.192	2.356
ogFID170405a25.CHR	4/5/17	12:46:28	Methane	0.65	20.2985	7.598
ogFID170405a26.CHR	4/5/17	12:49:57	Methane	0.65	6.171	2.337
ogFID170405a27.CHR	4/5/17	12:53:37	Methane	0.65	6.1185	2.334
ogFID170405a28.CHR	4/5/17	13:22:01	Methane	0.65	6.484	2.458
ogFID170405a29.CHR	4/5/17	13:25:35	Methane	0.65	6.2365	2.395
ogFID170405a30.CHR	4/5/17	13:30:03	Methane	0.65	6.2745	2.359
ogFID170405a31.CHR	4/5/17	13:33:21	Methane	0.65	6.1835	2.365
ogFID170405a32.CHR	4/5/17	13:37:06	Methane	0.65	6.099	2.263
ogFID170405a33.CHR	4/5/17	13:40:08	Methane	0.65	6.297	2.388
ogFID170405a34.CHR	4/5/17	14:49:07	Methane	0.65	6.3485	2.431
ogFID170405a35.CHR	4/5/17	14:52:30	Methane	0.65	6.4	2.451
ogFID170405a36.CHR	4/5/17	14:55:57	Methane	0.65	20.3875	7.584
ogFID170405a37.CHR	4/5/17	14:59:34	Methane	0.65	7.1155	2.699
ogFID170405a38.CHR	4/5/17	15:03:09	Methane	0.65	9.654	3.671
ogFID170405a39.CHR	4/5/17	15:06:11	Methane	0.65	6.3245	2.385
ogFID170405a40.CHR	4/5/17	15:10:56	Methane	0.65	7.005	2.666
ogFID170405a41.CHR	4/5/17	15:14:13	Methane	0.658	6.576	2.521
ogFID170405a42.CHR	4/5/17	15:17:43	Methane	0.65	6.643	2.528
ogFID170405a43.CHR	4/5/17	15:20:34	Methane	0.65	6.5315	2.486
ogFID170405a44.CHR	4/5/17	15:23:42	Methane	0.65	6.252	2.385
ogFID170405a45.CHR	4/5/17	15:26:45	Methane	0.65	6.269	2.363
ogFID170405a46.CHR	4/5/17	15:30:39	Methane	0.65	6.521	2.492
ogFID170405a47.CHR	4/5/17	15:33:21	Methane	0.65	20.907	7.778
ogFID170405a48.CHR	4/5/17	15:36:20	Methane	0.65	6.276	2.39
ogFID170405a49.CHR	4/5/17	15:39:14	Methane	0.65	6.4885	2.481
ogFID170405a50.CHR	4/5/17	15:42:13	Methane	0.65	6.622	2.494
ogFID170405a51.CHR	4/5/17	15:55:16	Methane	0.65	20.943	7.725
ogFID170405a52.CHR	4/6/17	7:14:36	Methane	0.65	20.995	7.726
ogFID170405a53.CHR	4/6/17	7:19:16	Methane	0.65	22.95	8.061
ogFID170405a54.CHR	4/6/17	7:23:24	Methane	0.65	21.145	7.815
ogFID170405a55.CHR	4/6/17	7:27:43	Methane	0.658	21.081	7.7
ogFID170405a56.CHR	4/6/17	7:32:31	Methane	0.658	21.2745	7.888
ogFID170405a57.CHR	4/6/17	7:36:42	Methane	0.65	21.151	7.741
ogFID170405a58.CHR	4/6/17	7:41:38	Methane	0.65	3.567	1.342
ogFID170405a59.CHR	4/6/17	7:45:32	Methane	0.65	3.0425	1.165
ogFID170405a60.CHR	4/6/17	7:49:00	Methane	0.65	2.603	0.98
ogFID170405a61.CHR	4/6/17	7:52:41	Methane	0.65	2.4935	0.94
ogFID170405a62.CHR	4/6/17	7:55:56	Methane	0.658	2.6245	0.992
ogFID170405a63.CHR	4/6/17	7:59:04	Methane	0.65	4.001	1.478
ogFID170405a64.CHR	4/6/17	8:02:44	Methane	0.65	2.668	0.995
ogFID170405a65.CHR	4/6/17	8:06:26	Methane	0.65	21.0895	7.759
ogFID170405a66.CHR	4/6/17	8:10:01	Methane	0.65	2.461	0.923
ogFID170405a67.CHR	4/6/17	8:13:38	Methane	0.65	3.321	1.266
ogFID170405a68.CHR	4/6/17	8:17:13	Methane	0.65	2.571	0.976
ogFID170405a69.CHR	4/6/17	8:25:38	Methane	0.65	2.58	0.968
ogFID170405a70.CHR	4/6/17	8:28:50	Methane	0.65	4.211	1.552
ogFID170405a71.CHR	4/6/17	8:34:13	Methane	0.65	2.604	0.994
ogFID170405a72.CHR	4/6/17	8:37:28	Methane	0.65	3.586	1.333
ogFID170405a73.CHR	4/6/17	8:40:50	Methane	0.65	2.708	1.009
ogFID170405a74.CHR	4/6/17	8:44:25	Methane	0.658	2.519	0.944
ogFID170405a75.CHR	4/6/17	8:50:35	Methane	0.65	2.949	1.099
ogFID170405a76.CHR	4/6/17	8:54:55	Methane	0.65	21.224	7.83
ogFID170405a77.CHR	4/6/17	8:57:58	Methane	0.658	3.0355	1.138
ogFID170405a78.CHR	4/6/17	9:01:15	Methane	0.658	2.0555	0.784
ogFID170405a79.CHR	4/6/17	9:04:57	Methane	0.65	2.095	0.801
ogFID170405a80.CHR	4/6/17	9:08:45	Methane	0.65	2.84	1.056
ogFID170405a81.CHR	4/6/17	9:12:12	Methane	0.65	4.977	1.851
ogFID170405a82.CHR	4/6/17	9:15:35	Methane	0.65	2.097	0.79
ogFID170405a83.CHR	4/6/17	9:19:16	Methane	0.65	4.2	1.524
ogFID170405a84.CHR	4/6/17	9:22:56	Methane	0.65	2.754	1.046
