SampleID	Date	Time	Gas	PeakTime	PeakArea	PeakHeight
ogTCD170405a01.CHR	4/5/17	9:49:33	Carbon dioxide	1.275	1.5905	0.576
ogTCD170405a02.CHR	4/5/17	9:55:10	Carbon dioxide	1.275	1.666	0.6
ogTCD170405a03.CHR	4/5/17	10:07:05	Carbon dioxide	1.275	1.695	0.617
ogTCD170405a04.CHR	4/5/17	10:38:22	Carbon dioxide	1.283	1.975	0.704
ogTCD170405a05.CHR	4/5/17	10:42:48	Carbon dioxide	1.283	1.998	0.732
ogTCD170405a06.CHR	4/5/17	11:07:15	Carbon dioxide	1.325	3.4208	0.827
ogTCD170405a07.CHR	4/5/17	11:12:03	Carbon dioxide	1.325	3.5568	0.865
ogTCD170405a08.CHR	4/5/17	11:23:40	Carbon dioxide	1.325	3.6237	0.869
ogTCD170405a09.CHR	4/5/17	11:28:35	Carbon dioxide	1.325	3.2998	0.884
ogTCD170405a10.CHR	4/5/17	11:32:00	Carbon dioxide	1.325	3.5455	0.904
ogTCD170405a11.CHR	4/5/17	11:38:04	Carbon dioxide	1.275	2.176	0.796
ogTCD170405a12.CHR	4/5/17	11:42:13	Carbon dioxide	1.275	2.231	0.801
ogTCD170405a13.CHR	4/5/17	11:48:19	Carbon dioxide	1.275	2.169	0.795
ogTCD170405a14.CHR	4/5/17	11:54:17	Carbon dioxide	1.275	2.22	0.8
ogTCD170405a15.CHR	4/5/17	12:08:10	Carbon dioxide	1.275	2.3645	0.87
ogTCD170405a16.CHR	4/5/17	12:12:10	Carbon dioxide	1.275	3.138	1.091
ogTCD170405a17.CHR	4/5/17	12:15:52	Carbon dioxide	1.275	3.0915	1.093
ogTCD170405a18.CHR	4/5/17	12:19:59	Carbon dioxide	1.275	2.5285	0.92
ogTCD170405a19.CHR	4/5/17	12:24:24	Carbon dioxide	1.275	2.973	1.072
ogTCD170405a20.CHR	4/5/17	12:28:01	Carbon dioxide	1.275	3.274	1.179
ogTCD170405a21.CHR	4/5/17	12:31:56	Carbon dioxide	1.275	2.4755	0.911
ogTCD170405a22.CHR	4/5/17	12:35:47	Carbon dioxide	1.275	2.831	1.026
ogTCD170405a23.CHR	4/5/17	12:39:28	Carbon dioxide	1.283	3.13	1.098
ogTCD170405a24.CHR	4/5/17	12:43:11	Carbon dioxide	1.275	2.682	0.981
ogTCD170405a25.CHR	4/5/17	12:46:28	Carbon dioxide	1.275	2.385	0.838
ogTCD170405a26.CHR	4/5/17	12:49:57	Carbon dioxide	1.275	3.0785	1.125
ogTCD170405a27.CHR	4/5/17	12:53:37	Carbon dioxide	1.275	3.558	1.296
ogTCD170405a28.CHR	4/5/17	13:22:01	Carbon dioxide	1.275	2.892	1.059
ogTCD170405a29.CHR	4/5/17	13:25:35	Carbon dioxide	1.275	3.172	1.146
ogTCD170405a30.CHR	4/5/17	13:30:03	Carbon dioxide	1.275	2.7595	1.004
ogTCD170405a31.CHR	4/5/17	13:33:21	Carbon dioxide	1.275	2.921	1.063
ogTCD170405a32.CHR	4/5/17	13:37:06	Carbon dioxide	1.275	3.141	1.165
ogTCD170405a33.CHR	4/5/17	13:40:08	Carbon dioxide	1.275	3.534	1.275
ogTCD170405a34.CHR	4/5/17	14:49:07	Carbon dioxide	1.275	3.197	1.158
ogTCD170405a35.CHR	4/5/17	14:52:30	Carbon dioxide	1.275	3.629	1.295
ogTCD170405a36.CHR	4/5/17	14:55:57	Carbon dioxide	1.283	2.552	0.882
ogTCD170405a37.CHR	4/5/17	14:59:34	Carbon dioxide	1.275	3.698	1.321
ogTCD170405a38.CHR	4/5/17	15:03:09	Carbon dioxide	1.275	2.579	0.909
ogTCD170405a39.CHR	4/5/17	15:06:11	Carbon dioxide	1.275	3.164	1.151
ogTCD170405a40.CHR	4/5/17	15:10:56	Carbon dioxide	1.275	3.3995	1.217
ogTCD170405a41.CHR	4/5/17	15:14:13	Carbon dioxide	1.283	3.305	1.175
ogTCD170405a42.CHR	4/5/17	15:17:43	Carbon dioxide	1.275	3.651	1.312
ogTCD170405a43.CHR	4/5/17	15:20:34	Carbon dioxide	1.275	3.057	1.076
ogTCD170405a44.CHR	4/5/17	15:23:42	Carbon dioxide	1.275	4.022	1.404
ogTCD170405a45.CHR	4/5/17	15:26:45	Carbon dioxide	1.275	5.034	1.739
ogTCD170405a46.CHR	4/5/17	15:30:39	Carbon dioxide	1.275	5.563	1.952
ogTCD170405a47.CHR	4/5/17	15:33:21	Carbon dioxide	1.283	2.592	0.9
ogTCD170405a48.CHR	4/5/17	15:36:20	Carbon dioxide	1.275	2.691	0.981
ogTCD170405a49.CHR	4/5/17	15:39:14	Carbon dioxide	1.275	3.231	1.151
ogTCD170405a50.CHR	4/5/17	15:42:13	Carbon dioxide	1.275	3.444	1.194
ogTCD170405a51.CHR	4/5/17	15:55:16	Carbon dioxide	1.283	2.55	0.892
ogTCD170405a52.CHR	4/6/17	7:14:36	Carbon dioxide	1.283	2.341	0.837
ogTCD170405a53.CHR	4/6/17	7:19:16	Carbon dioxide	1.283	2.641	0.917
ogTCD170405a54.CHR	4/6/17	7:23:24	Carbon dioxide	1.283	2.425	0.861
ogTCD170405a55.CHR	4/6/17	7:27:43	Carbon dioxide	1.291	2.641	0.903
ogTCD170405a56.CHR	4/6/17	7:32:31	Carbon dioxide	1.291	2.63	0.895
ogTCD170405a57.CHR	4/6/17	7:36:42	Carbon dioxide	1.283	2.536	0.893
ogTCD170405a58.CHR	4/6/17	7:41:38	Carbon dioxide	1.283	2.706	0.949
ogTCD170405a59.CHR	4/6/17	7:45:32	Carbon dioxide	1.283	3.384	1.188
ogTCD170405a60.CHR	4/6/17	7:49:00	Carbon dioxide	1.283	3.959	1.388
ogTCD170405a61.CHR	4/6/17	7:52:41	Carbon dioxide	1.283	2.772	0.973
ogTCD170405a62.CHR	4/6/17	7:55:56	Carbon dioxide	1.291	3.226	1.106
ogTCD170405a63.CHR	4/6/17	7:59:04	Carbon dioxide	1.283	2.7345	0.978
ogTCD170405a64.CHR	4/6/17	8:02:44	Carbon dioxide	1.283	3.373	1.179
ogTCD170405a65.CHR	4/6/17	8:06:26	Carbon dioxide	1.283	2.515	0.884
ogTCD170405a66.CHR	4/6/17	8:10:01	Carbon dioxide	1.283	4.161	1.448
ogTCD170405a67.CHR	4/6/17	8:13:38	Carbon dioxide	1.275	4.236	1.449
ogTCD170405a68.CHR	4/6/17	8:17:13	Carbon dioxide	1.283	2.569	0.937
ogTCD170405a69.CHR	4/6/17	8:25:38	Carbon dioxide	1.283	3.194	1.12
ogTCD170405a70.CHR	4/6/17	8:28:50	Carbon dioxide	1.283	2.417	0.867
ogTCD170405a71.CHR	4/6/17	8:34:13	Carbon dioxide	1.283	3.538	1.24
ogTCD170405a72.CHR	4/6/17	8:37:28	Carbon dioxide	1.283	4.091	1.425
ogTCD170405a73.CHR	4/6/17	8:40:50	Carbon dioxide	1.283	4.693	1.624
ogTCD170405a74.CHR	4/6/17	8:44:25	Carbon dioxide	1.283	3.865	1.329
ogTCD170405a75.CHR	4/6/17	8:50:35	Carbon dioxide	1.283	4.341	1.502
ogTCD170405a76.CHR	4/6/17	8:54:55	Carbon dioxide	1.283	2.539	0.896
ogTCD170405a77.CHR	4/6/17	8:57:58	Carbon dioxide	1.291	4.5265	1.545
ogTCD170405a78.CHR	4/6/17	9:01:15	Carbon dioxide	1.283	3.24	1.125
ogTCD170405a79.CHR	4/6/17	9:04:57	Carbon dioxide	1.283	3.676	1.284
ogTCD170405a80.CHR	4/6/17	9:08:45	Carbon dioxide	1.283	3.675	1.279
ogTCD170405a81.CHR	4/6/17	9:12:12	Carbon dioxide	1.283	2.485	0.872
ogTCD170405a82.CHR	4/6/17	9:15:35	Carbon dioxide	1.283	3.828	1.336
ogTCD170405a83.CHR	4/6/17	9:19:16	Carbon dioxide	1.283	3.128	1.076
