Date_Time,VWC_19_Avg,T_19_Avg,VWC_20_Avg,T_20_Avg
2/10/17 13:00,0.32,22.57,0.256,22.48
2/10/17 14:00,0.319,22.73,0.256,22.78
2/10/17 15:00,0.317,22.42,0.255,22.47
2/10/17 16:00,0.316,21.92,0.254,21.91
2/10/17 17:00,0.315,21.6,0.254,21.54
2/10/17 18:00,0.314,21.61,0.254,21.55
2/10/17 19:00,0.314,21.25,0.254,21.17
2/10/17 20:00,0.313,20.85,0.253,20.75
2/10/17 21:00,0.313,20.82,0.253,20.73
2/10/17 22:00,0.313,20.95,0.253,20.92
2/10/17 23:00,0.313,20.95,0.253,20.93
2/11/17 0:00,0.313,20.86,0.253,20.85
2/11/17 1:00,0.313,20.68,0.253,20.69
2/11/17 2:00,0.313,20.42,0.253,20.43
2/11/17 3:00,0.313,20.37,0.253,20.34
2/11/17 4:00,0.312,20.51,0.253,20.47
2/11/17 5:00,0.312,20.55,0.253,20.5
2/11/17 6:00,0.312,20.6,0.253,20.55
2/11/17 7:00,0.312,20.54,0.253,20.5
2/11/17 8:00,0.312,20.61,0.253,20.57
2/11/17 9:00,0.312,20.78,0.253,20.75
2/11/17 10:00,0.312,20.92,0.253,20.91
2/11/17 11:00,0.311,21.28,0.253,21.25
2/11/17 12:00,0.31,21.72,0.254,21.68
2/11/17 13:00,0.308,21.92,0.254,21.89
2/11/17 14:00,0.306,22.16,0.253,22.17
2/11/17 15:00,0.304,22.47,0.253,22.38
2/11/17 16:00,0.302,22.56,0.253,22.45
2/11/17 17:00,0.3,22.3,0.252,22.33
2/11/17 18:00,0.299,21.93,0.252,21.94
2/11/17 19:00,0.298,21.46,0.251,21.48
2/11/17 20:00,0.298,21.07,0.251,21.07
2/11/17 21:00,0.297,20.92,0.251,20.91
2/11/17 22:00,0.297,20.89,0.251,20.87
2/11/17 23:00,0.297,20.8,0.251,20.77
2/12/17 0:00,0.297,20.74,0.251,20.7
2/12/17 1:00,0.297,20.69,0.251,20.64
2/12/17 2:00,0.297,20.67,0.251,20.61
2/12/17 3:00,0.297,20.63,0.251,20.59
2/12/17 4:00,0.297,20.55,0.251,20.5
2/12/17 5:00,0.297,20.37,0.251,20.32
2/12/17 6:00,0.296,20.26,0.251,20.19
2/12/17 7:00,0.296,20.3,0.251,20.23
2/12/17 8:00,0.296,20.32,0.251,20.24
2/12/17 9:00,0.296,20.53,0.251,20.47
2/12/17 10:00,0.296,20.78,0.251,20.74
2/12/17 11:00,0.295,21.16,0.251,21.12
2/12/17 12:00,0.294,21.52,0.251,21.52
2/12/17 13:00,0.293,21.34,0.251,21.49
2/12/17 14:00,0.293,21.38,0.251,21.5
2/12/17 15:00,0.291,21.66,0.251,21.83
2/12/17 16:00,0.29,21.67,0.251,21.73
